p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
GFAP	0	2.38547371580274	0.578	0.054	0	Astrocytes	GFAP
AQP4	0	2.261296221639	0.648	0.063	0	Astrocytes	AQP4
CLU	0	2.04669314158626	0.968	0.416	0	Astrocytes	CLU
CST3	0	1.93308584323325	0.998	0.805	0	Astrocytes	CST3
NTRK2	0	1.869923522009	0.613	0.083	0	Astrocytes	NTRK2
SPARCL1	0	1.84793470428991	0.964	0.446	0	Astrocytes	SPARCL1
APOE	0	1.77766577906521	0.909	0.347	0	Astrocytes	APOE
GJA1	0	1.76177468487205	0.605	0.091	0	Astrocytes	GJA1
ITM2C	0	1.75447709866672	0.766	0.203	0	Astrocytes	ITM2C
AGT	0	1.6205559981245	0.419	0.045	0	Astrocytes	AGT
ALDOC	0	1.54622135620365	0.364	0.023	0	Astrocytes	ALDOC
SLC1A3	0	1.38841983901896	0.724	0.238	0	Astrocytes	SLC1A3
CPE	0	1.3832421731381	0.786	0.286	0	Astrocytes	CPE
MIR9-1HG	0	1.15129743354724	0.949	0.585	0	Astrocytes	MIR9-1HG
FAM107A	2.0864607362933e-280	1.4808108099329	0.339	0.032	6.29965090109036e-276	Astrocytes	FAM107A
ATP1A2	1.35925377206315e-244	1.06162699669397	0.716	0.285	4.10399491399028e-240	Astrocytes	ATP1A2
SLC1A2	8.40690417818335e-236	1.10513501340982	0.702	0.286	2.5382965785189e-231	Astrocytes	SLC1A2
GLUL	3.95394198924726e-216	1.17784887413261	0.589	0.209	1.19381370481342e-211	Astrocytes	GLUL
NDRG4	3.50779259773419e-214	1.22852427789871	0.278	0.029	1.05910781903389e-209	Astrocytes	NDRG4
EDNRB	7.47890319131689e-206	1.17491642444625	0.339	0.055	2.25810524055431e-201	Astrocytes	EDNRB
TTYH1	9.81483209213712e-195	1.04362112289454	0.439	0.11	2.96339225357896e-190	Astrocytes	TTYH1
NDRG2	1.57310106414488e-193	0.960206253677916	0.61	0.234	4.74966404297263e-189	Astrocytes	NDRG2
PMP2	6.06658291768844e-186	0.992702330450233	0.551	0.188	1.83168338033767e-181	Astrocytes	PMP2
MT1E	1.8636372649989e-185	0.880252770887559	0.579	0.204	5.62687999421116e-181	Astrocytes	MT1E
ADCYAP1R1	4.55895908845718e-183	1.18122205007581	0.264	0.033	1.37648651757788e-178	Astrocytes	ADCYAP1R1
MT3	8.17084027853819e-174	0.637139662372979	0.947	0.711	2.46702180529904e-169	Astrocytes	MT3
MLC1	2.23159645873383e-165	0.945551313992609	0.447	0.133	6.73785918785506e-161	Astrocytes	MLC1
SLC6A11	1.7272265763994e-164	1.06926098490281	0.251	0.034	5.21501520212272e-160	Astrocytes	SLC6A11
ATP1B2	1.03360578889182e-155	0.834934278555305	0.643	0.291	3.12076595840107e-151	Astrocytes	ATP1B2
TSC22D4	1.0339311557153e-155	0.848118889887122	0.556	0.215	3.12174833845119e-151	Astrocytes	TSC22D4
