Celltype	Cell count	Cell Percentage
Monocytes	237	0.2002
Erythrocytes	25	0.0211
Plasma cells	8	0.0068
CD8+ Tcm	1	0.0008
CD8+ effector T cells	32	0.0270
GMPs	449	0.3792
Dendritic cells	1	0.0008
CD4+ effector T cells	13	0.0110
CD8+ naive T cells	2	0.0017
CD4+ naive T cells	17	0.0144
Memory B cells	2	0.0017
Macrophages	1	0.0008
CD4+ Tem	24	0.0203
CD8+ Tem	19	0.0160
CD4+ Tcm	48	0.0405
NK cells	13	0.0110
Unassigned	238	0.2010
Naive B cells	2	0.0017
Activated B cells	2	0.0017
Progenitor cells	47	0.0397
Tregs	3	0.0025
