p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
LINC01781	4.31412329769809e-62	1.03873845633285	0.3	0.002	1.20726426362783e-57	Activated B cells	LINC01781
FCRL5	4.69979366831928e-62	1.07569204915723	0.3	0.002	1.31519026014247e-57	Activated B cells	FCRL5
IGHM	2.09512370873917e-49	2.45610665944355	0.9	0.033	5.8629941865357e-45	Activated B cells	IGHM
IGLC2	3.27785694360835e-48	1.74126915530853	0.4	0.006	9.17275487099362e-44	Activated B cells	IGLC2
IGLC3	3.23333025759616e-43	2.53560454558957	0.5	0.011	9.04815139285708e-39	Activated B cells	IGLC3
CPNE5	6.37312803347245e-40	0.912154431790067	0.3	0.004	1.78345614888693e-35	Activated B cells	CPNE5
CD24	5.94348146113994e-39	2.05116124052777	0.4	0.007	1.6632238520854e-34	Activated B cells	CD24
CD79B	2.73200069632474e-27	1.69351073301862	0.7	0.038	7.64523074859514e-23	Activated B cells	CD79B
BIRC3	5.1152899352727e-25	1.97273150820776	0.7	0.041	1.43146273548671e-20	Activated B cells	BIRC3
MS4A1	8.50910329702935e-23	2.15120710010378	0.8	0.061	2.38118746664069e-18	Activated B cells	MS4A1
CD79A	7.97616503344101e-22	1.25360318193089	0.4	0.015	2.23205002295813e-17	Activated B cells	CD79A
BANK1	3.91563392603307e-20	1.89561986781484	0.6	0.038	1.0957509978611e-15	Activated B cells	BANK1
TBC1D9	8.37876906521955e-20	1.44414151297342	0.5	0.026	2.34471473521104e-15	Activated B cells	TBC1D9
TLR10	2.69439426442441e-19	1.13469770883636	0.4	0.017	7.53999290956527e-15	Activated B cells	TLR10
IGKC	2.74723384819187e-19	2.05202525673751	0.4	0.017	7.68785920078014e-15	Activated B cells	IGKC
LINC00926	9.83260006803644e-18	1.24513281932682	0.4	0.018	2.75155480303932e-13	Activated B cells	LINC00926
CD83	5.95376728825399e-16	0.715376029363792	0.3	0.011	1.666102237945e-11	Activated B cells	CD83
LTB	9.58269597980282e-15	2.0649281096537	0.8	0.099	2.68162164298802e-10	Activated B cells	LTB
IKZF3	2.78666036727331e-13	1.14709018442195	0.5	0.039	7.79819037177764e-09	Activated B cells	IKZF3
AIM2	1.18152834197147e-12	1.59219961715079	0.4	0.028	3.30638891217297e-08	Activated B cells	AIM2
DIABLO	6.04651059702963e-12	0.835092755355583	0.3	0.016	1.69205552547277e-07	Activated B cells	DIABLO
FCMR	1.4043717549081e-10	1.16898059802684	0.4	0.033	3.92999391893484e-06	Activated B cells	FCMR
RALGPS2	1.91993588128627e-10	1.85809213331681	0.6	0.079	5.3727485701915e-06	Activated B cells	RALGPS2
LBH	1.52741515620541e-09	0.988848234171628	0.4	0.036	4.27431857312523e-05	Activated B cells	LBH
MSMO1	3.03320422303757e-09	0.878232033985081	0.3	0.022	8.48811869774832e-05	Activated B cells	MSMO1
EZR	7.41988558019827e-09	1.76641774179813	0.8	0.179	0.000207638078076268	Activated B cells	EZR
TAF4B	1.74686012618429e-08	0.8795721082987	0.3	0.024	0.00048884133771141	Activated B cells	TAF4B
FCGR2B	4.73927338006133e-08	0.985614432721728	0.5	0.067	0.00132623826267636	Activated B cells	FCGR2B
TPD52	1.16682851297947e-07	0.784883532929082	0.3	0.027	0.00326525291072176	Activated B cells	TPD52
RPS4Y2	3.50817427686861e-07	0.961333606016384	0.4	0.051	0.00981727489638911	Activated B cells	RPS4Y2
GNG7	6.37156814871803e-07	1.05480143082841	0.3	0.03	0.0178301963073725	Activated B cells	GNG7
