p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SCML1	3.4380280067943e-35	1.26497065467787	0.857	0.064	6.83720629711182e-31	CD4+ naive T cells	SCML1
LINC02273	5.99252445024553e-20	0.560385525401788	0.286	0.012	1.19173333742033e-15	CD4+ naive T cells	LINC02273
CHRM3-AS2	7.42291387628927e-17	0.581316431220916	0.357	0.023	1.47619488257765e-12	CD4+ naive T cells	CHRM3-AS2
APBA2	2.22699920896039e-13	0.854794120562531	0.5	0.053	4.42883332685953e-09	CD4+ naive T cells	APBA2
CD40LG	2.74418413897535e-10	0.734096340342648	0.5	0.069	5.45735899718028e-06	CD4+ naive T cells	CD40LG
RPLP2	6.62452225017688e-10	1.14703996826792	1	0.959	1.31741873989268e-05	CD4+ naive T cells	RPLP2
TRABD2A	7.20313468230082e-10	1.04846052131639	0.429	0.056	1.43248739426916e-05	CD4+ naive T cells	TRABD2A
IL7R	1.56432772900086e-09	1.35751282564392	1	0.356	3.11097855466402e-05	CD4+ naive T cells	IL7R
TCF7	2.90267996768507e-09	0.982677969592815	0.714	0.17	5.77255965173529e-05	CD4+ naive T cells	TCF7
RPL3	5.84357372956229e-09	1.12635457702555	1	0.955	0.000116211150759805	CD4+ naive T cells	RPL3
LEF1	9.81910362104724e-09	0.903765431760282	0.5	0.088	0.000195272513711767	CD4+ naive T cells	LEF1
RPL36	1.0767214052736e-08	0.820620246387044	1	0.964	0.00021412758586676	CD4+ naive T cells	RPL36
RPL37	1.2337457858167e-08	0.896840093196996	1	0.976	0.000245355024425367	CD4+ naive T cells	RPL37
RPL38	1.62888471386326e-08	0.850999745154285	1	0.946	0.000323936303045987	CD4+ naive T cells	RPL38
RPS3A	1.7135561418928e-08	1.28995630499388	1	0.96	0.000340774909938222	CD4+ naive T cells	RPS3A
RPL21	1.74943110323405e-08	1.18854800047849	1	0.961	0.000347909363500155	CD4+ naive T cells	RPL21
RPL7	1.76671947252186e-08	1.15618506497845	1	0.875	0.000351347501500423	CD4+ naive T cells	RPL7
ITGA6	2.04274098815669e-08	0.391645794250784	0.286	0.03	0.000406239900314721	CD4+ naive T cells	ITGA6
RPL9	2.11864123448515e-08	0.961403438017355	1	0.949	0.000421334182302062	CD4+ naive T cells	RPL9
RPL34	3.54924377438649e-08	1.06885139832366	1	0.967	0.000705838109412242	CD4+ naive T cells	RPL34
RPS8	3.94141492188601e-08	1.04887969048402	1	0.958	0.000783829185515471	CD4+ naive T cells	RPS8
RPL10A	3.95870777776317e-08	0.817860865370037	1	0.91	0.000787268215763761	CD4+ naive T cells	RPL10A
RPL30	4.52262255951312e-08	1.15409275828467	0.929	0.971	0.000899413948410374	CD4+ naive T cells	RPL30
TSHZ2	4.79073655256172e-08	0.853167245708266	0.643	0.136	0.000952733778207948	CD4+ naive T cells	TSHZ2
RPS14	4.80368028651959e-08	1.03893086386898	0.929	0.964	0.000955307898580151	CD4+ naive T cells	RPS14
RPS27	4.82206471896993e-08	0.905040097149442	1	0.994	0.000958964010661551	CD4+ naive T cells	RPS27
RPS29	4.83430893962193e-08	0.822157222355492	1	0.979	0.000961399018822614	CD4+ naive T cells	RPS29
RPS12	5.62606848934056e-08	1.13623363048777	1	0.971	0.00111885624047516	CD4+ naive T cells	RPS12
RPS27A	7.14660518149901e-08	1.06900138399815	1	0.971	0.00142124537244471	CD4+ naive T cells	RPS27A
RPL5	7.15590105556551e-08	1.15264099564622	0.929	0.921	0.00142309404292031	CD4+ naive T cells	RPL5
RPL13	7.16408182148302e-08	1.13268388859946	1	0.979	0.00142472095183833	CD4+ naive T cells	RPL13
RPS20	7.39467127509778e-08	0.867380716133735	1	0.919	0.0014705782764787	CD4+ naive T cells	RPS20
RPS28	8.1091905039743e-08	0.943729584355407	0.929	0.97	0.00161267471552537	CD4+ naive T cells	RPS28
RPS3	1.026952052251e-07	0.97413008626664	0.929	0.963	0.00204229954631156	CD4+ naive T cells	RPS3
RPL32	1.04349422124297e-07	1.02798616193721	0.929	0.969	0.0020751969577859	CD4+ naive T cells	RPL32
RPS23	1.22904728571201e-07	1.00575564464869	0.929	0.966	0.00244420633709548	CD4+ naive T cells	RPS23
EEF1A1	1.29962519741748e-07	0.882686213988555	1	0.988	0.00258456463010415	CD4+ naive T cells	EEF1A1
RPL35A	1.35784722521441e-07	0.947317153374109	0.929	0.953	0.00270035077678391	CD4+ naive T cells	RPL35A
RPL10	1.45209078196672e-07	0.936654434300152	0.929	0.976	0.00288777293809722	CD4+ naive T cells	RPL10
RPL39	1.72033959622699e-07	0.892864336111777	1	0.968	0.00342123935501662	CD4+ naive T cells	RPL39
RPL27	1.74425308796173e-07	0.799911538684879	1	0.923	0.00346879611602949	CD4+ naive T cells	RPL27
TPT1	1.83245363043308e-07	1.01142114948376	1	0.981	0.00364420053484228	CD4+ naive T cells	TPT1
