p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CCL22	3.06104476725014e-18	3.02933060140746	0.833	0.009	3.65305082523632e-14	Dendritic cells	CCL22
CD1E	1.88864559897387e-17	0.911529095500322	0.667	0	2.25390965781541e-13	Dendritic cells	CD1E
GPR157	3.57726462900296e-15	0.854164700682832	0.833	0.019	4.26910760825213e-11	Dendritic cells	GPR157
CHRNE	2.92958357294977e-14	0.502764764664223	0.667	0.009	3.49616503595825e-10	Dendritic cells	CHRNE
FCER1A	6.59654923730509e-14	1.51672122287002	0.833	0.028	7.8723218597999e-10	Dendritic cells	FCER1A
CD80	6.72859686479487e-14	0.544463876381846	0.667	0.009	8.02990749844619e-10	Dendritic cells	CD80
ST18	2.43041472721024e-13	0.606408208627982	0.5	0	2.9004569354527e-09	Dendritic cells	ST18
HNMT	2.43041472721024e-13	0.513476819793705	0.5	0	2.9004569354527e-09	Dendritic cells	HNMT
LST1	8.04440908420878e-13	1.44820549103449	1	0.057	9.60019780109475e-09	Dendritic cells	LST1
RNASE6	3.99003975360861e-12	1.08477545506187	0.667	0.019	4.76171344195652e-08	Dendritic cells	RNASE6
ATF7IP2	3.99003975360861e-12	1.0430732839556	0.667	0.019	4.76171344195652e-08	Dendritic cells	ATF7IP2
HLA-DQB2	8.02002056672332e-12	1.71678630531277	0.667	0.019	9.57109254432761e-08	Dendritic cells	HLA-DQB2
HLA-DQA2	8.02002056672332e-12	1.22951665105826	0.667	0.019	9.57109254432761e-08	Dendritic cells	HLA-DQA2
EBI3	1.59650104794324e-11	1.56535735937459	0.667	0.019	1.90526435061547e-07	Dendritic cells	EBI3
LGALS2	1.70421573697885e-11	1.2657547912993	0.833	0.038	2.03381106051056e-07	Dendritic cells	LGALS2
CD40	2.58263703708612e-10	0.974936490449971	0.833	0.047	3.08211904005858e-06	Dendritic cells	CD40
MCOLN2	2.58263703708612e-10	0.923591779092108	0.833	0.047	3.08211904005858e-06	Dendritic cells	MCOLN2
CST7	2.64442709888415e-10	1.98991076763649	0.833	0.057	3.15585929980834e-06	Dendritic cells	CST7
TVP23A	2.78993411409447e-10	0.766548231407809	0.5	0.009	3.32950737176034e-06	Dendritic cells	TVP23A
SERPINB9P1	2.78993411409447e-10	0.611860618896994	0.5	0.009	3.32950737176034e-06	Dendritic cells	SERPINB9P1
GPR35	2.78993411409447e-10	0.512698538543519	0.5	0.009	3.32950737176034e-06	Dendritic cells	GPR35
TRAF3IP2-AS1	2.78993411409447e-10	0.39287711762244	0.5	0.009	3.32950737176034e-06	Dendritic cells	TRAF3IP2-AS1
HLA-DQA1	3.34649788612566e-10	2.88535962705312	1	0.104	3.99371057730236e-06	Dendritic cells	HLA-DQA1
P2RY10	3.61437634286618e-10	0.78042283975486	0.5	0.009	4.3133967275765e-06	Dendritic cells	P2RY10
CD1A	4.67505631077393e-10	0.696511168571991	0.5	0.009	5.57921220127761e-06	Dendritic cells	CD1A
IL4I1	5.44129448112232e-10	0.705649089017842	0.667	0.028	6.49364083377138e-06	Dendritic cells	IL4I1
TMEM273	6.03746394320319e-10	0.388137130382645	0.5	0.009	7.20510946981869e-06	Dendritic cells	TMEM273
MIR155HG	7.99590466102251e-10	1.17839416702514	1	0.085	9.54231262246427e-06	Dendritic cells	MIR155HG
MS4A6A	7.99590466102251e-10	1.08093020976775	1	0.085	9.54231262246427e-06	Dendritic cells	MS4A6A
CCR7	8.03562401631884e-10	1.4151894356593	0.667	0.028	9.58971370107491e-06	Dendritic cells	CCR7
SEPTIN6	9.17263436345374e-10	0.923063853292729	1	0.085	1.09466218493457e-05	Dendritic cells	SEPTIN6
CLIC2	9.75218815748707e-10	1.05226712287793	0.833	0.066	1.16382613471451e-05	Dendritic cells	CLIC2
TRAF1	1.10744206426875e-09	0.870931576778863	0.833	0.057	1.32162135949833e-05	Dendritic cells	TRAF1
BCL2A1	1.41174232535636e-09	1.95114718457586	1	0.104	1.68477329108029e-05	Dendritic cells	BCL2A1
HLA-DPB1	1.76700526994137e-09	3.01593780962259	1	0.123	2.10874408914803e-05	Dendritic cells	HLA-DPB1
HLA-DRB1	2.54400664198182e-09	2.8327724551813	1	0.123	3.0360175265411e-05	Dendritic cells	HLA-DRB1
TNFSF14	2.80304049297626e-09	0.514842313856607	0.333	0	3.34514852431786e-05	Dendritic cells	TNFSF14
HLA-DRA	2.870432383262e-09	2.76082353276586	1	0.123	3.42557400618487e-05	Dendritic cells	HLA-DRA
HCST	3.89594521696794e-09	1.20438593283594	1	0.104	4.64942102192954e-05	Dendritic cells	HCST
CTSZ	4.46468887862609e-09	1.6125709944783	0.833	0.075	5.32815970775237e-05	Dendritic cells	CTSZ
CFP	4.95549021135703e-09	0.965047313949625	0.833	0.066	5.91388201823348e-05	Dendritic cells	CFP
TRIM69	5.49096710840664e-09	0.559634730765503	0.667	0.038	6.55292014717249e-05	Dendritic cells	TRIM69
LCP1	6.40746216660202e-09	1.29900891191151	1	0.104	7.64666534962285e-05	Dendritic cells	LCP1
CD86	6.52847044200153e-09	1.04782591317757	0.667	0.038	7.79107662548463e-05	Dendritic cells	CD86
GPR132	6.52847044200153e-09	0.775813940599251	0.667	0.038	7.79107662548463e-05	Dendritic cells	GPR132
BIRC3	8.93338603811012e-09	1.55340124966938	0.833	0.075	0.000106611028978806	Dendritic cells	BIRC3
SMAP2	1.5321753826852e-08	0.663132305230308	0.667	0.038	0.000182849810169652	Dendritic cells	SMAP2
TYROBP	1.9153404508531e-08	1.5232328345837	1	0.104	0.000228576729404809	Dendritic cells	TYROBP
CYTIP	2.0181398680009e-08	0.886281900627874	0.833	0.075	0.000240844811847228	Dendritic cells	CYTIP
TOMM34	2.1682267864598e-08	1.01169079833103	1	0.151	0.000258756184696113	Dendritic cells	TOMM34
GPAT3	2.76640879032349e-08	2.00834876038202	0.833	0.094	0.000330143225037206	Dendritic cells	GPAT3
PHACTR1	2.98766520039683e-08	0.430127260837738	0.667	0.038	0.000356547965015358	Dendritic cells	PHACTR1
HLA-DPA1	3.064840242063e-08	2.76762039154204	1	0.16	0.000365758034487799	Dendritic cells	HLA-DPA1
CLEC10A	3.65108192296777e-08	1.45281460969003	0.5	0.019	0.000435720116686974	Dendritic cells	CLEC10A
CCRL2	4.47915629232099e-08	0.858455422892365	0.5	0.019	0.000534542511925587	Dendritic cells	CCRL2
AC004687.1	4.47915629232099e-08	0.462805729128023	0.5	0.019	0.000534542511925587	Dendritic cells	AC004687.1
OPN3	4.53977274781991e-08	0.829606937369287	0.667	0.047	0.000541776479724828	Dendritic cells	OPN3
CHST11	4.53977274781991e-08	0.653849045539601	0.667	0.047	0.000541776479724828	Dendritic cells	CHST11
SLC7A11	5.29693990569304e-08	1.53682449098339	0.667	0.047	0.000632136808345407	Dendritic cells	SLC7A11
MYO9B	5.70359015857572e-08	1.01195201348273	1	0.16	0.000680666449524426	Dendritic cells	MYO9B
