p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
VPREB3	1.93878554510153e-06	0.951666608054997	0.632	0.177	0.0283256568139333	Activated B cells	VPREB3
MS4A1	8.90668363043519e-06	0.841679104145801	0.737	0.266	0.130126647840658	Activated B cells	MS4A1
MARCHF1	2.61895925924491e-05	0.86543365819762	0.579	0.168	0.382629947775682	Activated B cells	MARCHF1
HLA-DQA1	3.38325064957295e-05	0.892517582141907	0.526	0.162	0.494292919902608	Activated B cells	HLA-DQA1
CLECL1	4.22839435270426e-05	0.704204422882424	0.368	0.083	0.617768414930092	Activated B cells	CLECL1
RPS25	6.22096387134344e-05	0.440581581211928	1	0.972	0.908882821603276	Activated B cells	RPS25
RPL27A	7.17946439223113e-05	0.379610968709178	1	0.993	1	Activated B cells	RPL27A
TAF8	7.18914892725817e-05	0.877962735902341	0.368	0.098	1	Activated B cells	TAF8
RPL18	0.000107136109010382	0.414969661930517	1	0.939	1	Activated B cells	RPL18
RPL28	0.000212562599213149	0.383330965463508	1	0.985	1	Activated B cells	RPL28
CD52	0.000243265599095199	0.685406139092302	0.895	0.52	1	Activated B cells	CD52
HLA-DRA	0.000307595553073492	0.481258449887057	0.947	0.572	1	Activated B cells	HLA-DRA
ARHGAP24	0.000433764556924832	0.694024561297687	0.421	0.127	1	Activated B cells	ARHGAP24
MIDN	0.000528063903433106	0.738101202563359	0.526	0.214	1	Activated B cells	MIDN
RPS29	0.000570128899413565	0.378102770215814	1	0.976	1	Activated B cells	RPS29
RPL32	0.000573765785653023	0.325293166968919	1	0.993	1	Activated B cells	RPL32
RPL19	0.000650172272945994	0.439763598868505	1	0.976	1	Activated B cells	RPL19
RPLP1	0.000650221479401374	0.38660568710571	1	1	1	Activated B cells	RPLP1
RPL11	0.000777935549754253	0.369230711685814	0.895	0.976	1	Activated B cells	RPL11
RPS11	0.000815962561751515	0.363963973969034	1	0.934	1	Activated B cells	RPS11
HLA-DQB1	0.000920588680384748	0.876278176157778	0.632	0.286	1	Activated B cells	HLA-DQB1
RPLP2	0.00103562774084374	0.368581498767897	1	0.998	1	Activated B cells	RPLP2
RPL5	0.00109244856435689	0.449455310589224	1	0.865	1	Activated B cells	RPL5
CSNK1G3	0.00109306068121663	0.900276613129051	0.263	0.068	1	Activated B cells	CSNK1G3
RPS16	0.00116743038274654	0.357801670665027	1	0.974	1	Activated B cells	RPS16
AP002990.1	0.00119169763960362	0.492958732612303	0.895	0.843	1	Activated B cells	AP002990.1
RPL13A	0.00120285546438771	0.368575401411134	1	0.996	1	Activated B cells	RPL13A
MIS18BP1	0.00120883207697715	0.596047463892005	0.263	0.066	1	Activated B cells	MIS18BP1
RPL14	0.00123008982779722	0.354024143121649	1	0.934	1	Activated B cells	RPL14
CD53	0.00128158627807021	0.624067291041409	0.474	0.172	1	Activated B cells	CD53
RPL39	0.0012840603844678	0.311132647185059	1	0.996	1	Activated B cells	RPL39
BCAS4	0.00134252608145547	0.58299812540852	0.263	0.066	1	Activated B cells	BCAS4
CD74	0.0013551814418404	0.454604331982708	0.947	0.609	1	Activated B cells	CD74
RPS15A	0.0014363324382321	0.295149471583129	1	0.989	1	Activated B cells	RPS15A
RPS27	0.00143634118914621	0.330611702980489	1	0.998	1	Activated B cells	RPS27
RPS6	0.00157726846073458	0.361307543353129	1	0.983	1	Activated B cells	RPS6
RPS9	0.00158529301109893	0.328737154648566	0.947	0.948	1	Activated B cells	RPS9
RPS12	0.00172092079030716	0.373039243937129	1	0.991	1	Activated B cells	RPS12
RNASET2	0.0019534856100131	0.535072788626342	0.526	0.216	1	Activated B cells	RNASET2
RPS13	0.0021358904626787	0.406437593789635	1	0.924	1	Activated B cells	RPS13
LTB	0.00236951066349007	0.573589277837975	0.737	0.402	1	Activated B cells	LTB
PDE7A	0.00246678940750622	0.644326691205132	0.316	0.098	1	Activated B cells	PDE7A
SNX2	0.00247327405033392	0.671003071952504	0.368	0.131	1	Activated B cells	SNX2
NCF1	0.0034055919336884	0.613054146524336	0.316	0.105	1	Activated B cells	NCF1
NDUFA11	0.00343617780102384	0.616840364488503	0.579	0.33	1	Activated B cells	NDUFA11
RPL35A	0.00424390219305617	0.299759007721879	1	0.985	1	Activated B cells	RPL35A
RPL34	0.0042896345813707	0.258836352576249	1	0.996	1	Activated B cells	RPL34
PIM2	0.00457879619123942	0.570164243706057	0.263	0.079	1	Activated B cells	PIM2
RPS23	0.00479604491702893	0.301617652013501	1	0.965	1	Activated B cells	RPS23
FAU	0.00482214965504699	0.296492635536838	1	0.98	1	Activated B cells	FAU
CD79A	0.00499401336819846	0.794866569357432	0.421	0.192	1	Activated B cells	CD79A
RPL31	0.00602450490902063	0.347814466419619	1	0.913	1	Activated B cells	RPL31
OARD1	0.00622618850462162	0.582451972265525	0.263	0.085	1	Activated B cells	OARD1
MPV17L	0.00657812121237473	0.745481476798892	0.421	0.197	1	Activated B cells	MPV17L
SMIM14	0.00675229012760575	0.682730894970645	0.632	0.378	1	Activated B cells	SMIM14
NBPF14	0.00689596870947137	0.29892003835226	0.474	0.192	1	Activated B cells	NBPF14
RPL10	0.00787662886489092	0.274268523953117	1	0.998	1	Activated B cells	RPL10
MACF1	0.00870413525344426	0.44949936238582	0.421	0.181	1	Activated B cells	MACF1
RPL23A	0.00896985578609949	0.364933643461423	1	0.965	1	Activated B cells	RPL23A
SELENOT	0.00976788632577997	0.692058217756275	0.421	0.212	1	Activated B cells	SELENOT
CD3D	2.67013634766819e-19	1.48112270339062	0.842	0.105	3.90106920394323e-15	CD4+ Tcm	CD3D
GPR171	9.03899630247513e-12	1.42173505283892	0.368	0.033	1.32059735979162e-07	CD4+ Tcm	GPR171
S100A4	2.26070510666081e-11	1.4222986083339	1	0.373	3.30289016083144e-07	CD4+ Tcm	S100A4
RNF125	4.81101771204234e-09	0.894072261588666	0.316	0.033	7.02889687729385e-05	CD4+ Tcm	RNF125
MCUB	4.85778808735437e-09	1.10311892005273	0.421	0.063	7.09722839562473e-05	CD4+ Tcm	MCUB
GZMM	9.52946342114401e-09	0.798296575082279	0.316	0.033	0.000139225460582914	CD4+ Tcm	GZMM
SARAF	1.48097180457909e-06	0.960511333241309	0.789	0.358	0.0216369980649005	CD4+ Tcm	SARAF
TRAC	1.76986073609288e-06	1.01303672498284	0.474	0.103	0.025857665354317	CD4+ Tcm	TRAC
CD3G	2.17136450088339e-06	0.8998989492178	0.316	0.05	0.0317236353579063	CD4+ Tcm	CD3G
IL32	3.10301347532258e-06	1.4144201153457	0.632	0.223	0.0453350268744628	CD4+ Tcm	IL32
BIRC3	3.41790832312941e-06	1.17347238361215	0.684	0.242	0.0499356406009206	CD4+ Tcm	BIRC3
CD2	4.39890466356825e-06	0.990851822425535	0.368	0.07	0.0642679971347321	CD4+ Tcm	CD2
B2M	6.7891661794024e-06	0.528867024732105	1	0.991	0.0991897178810691	CD4+ Tcm	B2M
KLRB1	8.57194518318455e-06	1.14942230901081	0.368	0.072	0.125236119126326	CD4+ Tcm	KLRB1
ITGB2	8.76942979345432e-06	0.77994082802601	0.421	0.09	0.128121369282368	CD4+ Tcm	ITGB2
SAMHD1	9.01357756454944e-06	0.835707885639071	0.368	0.079	0.131688368218067	CD4+ Tcm	SAMHD1
BCL11B	1.38903265637622e-05	0.81694810559387	0.368	0.076	0.202937671096565	CD4+ Tcm	BCL11B
TNFAIP3	1.61405323737906e-05	0.852681161884385	0.632	0.216	0.23581317798108	CD4+ Tcm	TNFAIP3
TARS3	3.63410240496229e-05	0.69105113991073	0.263	0.046	0.53094236136499	CD4+ Tcm	TARS3
TRBC1	4.01113735170725e-05	0.71065294892774	0.316	0.061	0.586027167084429	CD4+ Tcm	TRBC1
IL7R	5.78339486165573e-05	0.690737638284977	0.421	0.105	0.844953989287902	CD4+ Tcm	IL7R
PIK3R1	0.000127115350623332	0.770475520838677	0.316	0.072	1	CD4+ Tcm	PIK3R1
CRIP1	0.000244833828436934	0.881724606850215	0.842	0.509	1	CD4+ Tcm	CRIP1
LEPROTL1	0.000276727573825487	0.931093034006801	0.421	0.131	1	CD4+ Tcm	LEPROTL1
ID2	0.000422815753383592	0.862327979517907	0.474	0.175	1	CD4+ Tcm	ID2
SLFN5	0.000458513021910002	0.802786594640571	0.263	0.061	1	CD4+ Tcm	SLFN5
AL445685.3	0.000512956264457847	0.476725259386991	0.316	0.087	1	CD4+ Tcm	AL445685.3
PPP2R5C	0.000586843701820297	0.72031924676742	0.632	0.317	1	CD4+ Tcm	PPP2R5C
TSTD1	0.000696332448359761	0.663474219364446	0.526	0.201	1	CD4+ Tcm	TSTD1
RPS251	0.000735973810735481	0.406834940254608	1	0.972	1	CD4+ Tcm	RPS25
RSBN1	0.000756364552643666	0.773010012515908	0.263	0.066	1	CD4+ Tcm	RSBN1
TXNDC12	0.000799941913294461	0.467827347690884	0.316	0.092	1	CD4+ Tcm	TXNDC12
LPAR6	0.000884989628886334	1.06688438326396	0.263	0.068	1	CD4+ Tcm	LPAR6
MYL12A	0.00105421988248647	0.66939426391048	0.789	0.583	1	CD4+ Tcm	MYL12A
ZFP36L2	0.00105553824835541	0.718491382808087	0.737	0.513	1	CD4+ Tcm	ZFP36L2
SPCS3	0.00106813022301139	0.865170839193097	0.421	0.159	1	CD4+ Tcm	SPCS3
GMFG	0.00110390412989811	0.876383473256737	0.579	0.264	1	CD4+ Tcm	GMFG
RPL13	0.00127269663163847	0.272449745054994	0.947	0.998	1	CD4+ Tcm	RPL13
RESF1	0.00146352267265305	0.773749103315229	0.474	0.194	1	CD4+ Tcm	RESF1
MBP	0.0015891676147091	0.540173340293878	0.263	0.066	1	CD4+ Tcm	MBP
CNOT6L	0.00196711198771981	0.667698280984797	0.368	0.124	1	CD4+ Tcm	CNOT6L
PTPRC	0.00198409298438509	0.781189624857125	0.684	0.349	1	CD4+ Tcm	PTPRC
CDC42SE2	0.00204294474153731	0.712413634876652	0.474	0.19	1	CD4+ Tcm	CDC42SE2
CORO1B	0.00213973277718238	0.71632988107792	0.737	0.439	1	CD4+ Tcm	CORO1B
TSC22D3	0.0024059440802864	0.555163495845359	0.895	0.668	1	CD4+ Tcm	TSC22D3
PSME1	0.00249360675245858	0.681851465760795	0.526	0.251	1	CD4+ Tcm	PSME1
RPS291	0.00271106621089978	0.366493698187791	1	0.976	1	CD4+ Tcm	RPS29
NDUFA1	0.00275013212605221	0.570694356030842	0.632	0.36	1	CD4+ Tcm	NDUFA1
ITM2A	0.00362003698762552	1.01935327611468	0.316	0.111	1	CD4+ Tcm	ITM2A
NEDD4	0.00418049668820407	0.687332210978236	0.421	0.166	1	CD4+ Tcm	NEDD4
THUMPD1	0.00424935407438184	0.850352822643482	0.316	0.114	1	CD4+ Tcm	THUMPD1
CUTA	0.00433007646119205	0.86226550466631	0.526	0.284	1	CD4+ Tcm	CUTA
CARD16	0.00435602621678913	0.83178449104528	0.316	0.116	1	CD4+ Tcm	CARD16
CRYBG1	0.00452896404776323	0.706498389947495	0.263	0.079	1	CD4+ Tcm	CRYBG1
HCST	0.005439553430181	0.686753835564879	0.421	0.166	1	CD4+ Tcm	HCST
AL121845.3	0.00556687192859623	0.433084301846654	0.316	0.114	1	CD4+ Tcm	AL121845.3
RPL341	0.00591549060517203	0.303729735314697	1	0.996	1	CD4+ Tcm	RPL34
RPL17-C18orf32	0.00619042148231266	0.442948160857668	0.947	0.902	1	CD4+ Tcm	RPL17-C18orf32
MAF	0.00633199166163641	0.609872344170405	0.263	0.083	1	CD4+ Tcm	MAF
CORO1A	0.00633514240042972	0.578373297656204	0.579	0.29	1	CD4+ Tcm	CORO1A
PLAAT4	0.00638994889100693	0.559347093633208	0.316	0.109	1	CD4+ Tcm	PLAAT4
IDS	0.00644268798041402	0.402749843743085	0.421	0.177	1	CD4+ Tcm	IDS
CLIC1	0.00661332844061606	0.682203316656417	0.632	0.358	1	CD4+ Tcm	CLIC1
ATXN7.1	0.00696724388608148	0.40638236443377	0.263	0.085	1	CD4+ Tcm	ATXN7.1
TRAF3IP3	0.0070281200575529	0.44712884234906	0.263	0.079	1	CD4+ Tcm	TRAF3IP3
TSPAN14	0.00737319159819472	0.636351856133406	0.316	0.114	1	CD4+ Tcm	TSPAN14
PPM1G	0.00739676275107059	0.593040245263848	0.316	0.12	1	CD4+ Tcm	PPM1G
MIEN1	0.00740988053477025	0.635508054166073	0.263	0.087	1	CD4+ Tcm	MIEN1
SON	0.00801333125968375	0.580515005557179	0.684	0.443	1	CD4+ Tcm	SON
GYPC	0.00850401010455407	0.539387496671874	0.316	0.118	1	CD4+ Tcm	GYPC
RPS271	0.00933423441291071	0.262932833979385	1	0.998	1	CD4+ Tcm	RPS27
HLA-C	0.00982404277485977	0.674949875929722	0.842	0.651	1	CD4+ Tcm	HLA-C
TRAC1	8.40003267704325e-25	1.85253389238073	0.731	0.082	1.22724477411602e-20	CD4+ Tem	TRAC
CD3D1	2.3221465830877e-20	1.632321731182	0.731	0.1	3.39265615789113e-16	CD4+ Tem	CD3D
CD7	1.29161250602521e-19	1.49788177007579	0.5	0.042	1.88704587130283e-15	CD4+ Tem	CD7
CD21	1.57860273405866e-18	1.41966838341145	0.538	0.055	2.30633859445971e-14	CD4+ Tem	CD2
