p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FCN1	1.69438765909971e-31	0.706226097981512	0.333	0.007	3.24610787730323e-27	Dendritic cells	FCN1
TNFSF13B	1.88691723005538e-24	1.31117718275689	0.933	0.109	3.61495602934009e-20	Dendritic cells	TNFSF13B
CD83	3.41889726201199e-24	1.37207445919717	1	0.124	6.54992337456258e-20	Dendritic cells	CD83
EBI3	3.49081969493676e-24	0.631021797541558	0.333	0.011	6.68771237155985e-20	Dendritic cells	EBI3
TSPAN33	7.96658644958601e-24	0.42120011526412	0.533	0.032	1.52623863201169e-19	Dendritic cells	TSPAN33
FCGR2B	4.07300091563787e-23	1.05672492403332	0.8	0.077	7.80305515417904e-19	Dendritic cells	FCGR2B
TM6SF1	4.41608073064488e-22	0.427737416508491	0.6	0.045	8.46032746376945e-18	Dendritic cells	TM6SF1
IL7R	5.7165953668495e-22	0.954841103462429	0.533	0.035	1.09518534038103e-17	Dendritic cells	IL7R
GPR183	9.79660596897277e-22	1.77957521539376	0.933	0.127	1.8768337715358e-17	Dendritic cells	GPR183
IL2RG	1.03540111212178e-21	0.716583089570783	0.667	0.058	1.9836214506029e-17	Dendritic cells	IL2RG
CD1D	1.15993765892862e-21	0.440547138816357	0.333	0.013	2.22220856697545e-17	Dendritic cells	CD1D
CTAG2	2.03632337955479e-21	0.769095940008652	0.6	0.046	3.90118833055106e-17	Dendritic cells	CTAG2
LYN	3.74809550126306e-21	0.891159718428873	0.867	0.108	7.18060136131976e-17	Dendritic cells	LYN
IL4I1	5.06486869012481e-21	1.66203845738839	0.733	0.077	9.70327543654112e-17	Dendritic cells	IL4I1
IGSF6	5.33029713340541e-21	0.91497462506903	0.733	0.071	1.02117832481781e-16	Dendritic cells	IGSF6
CD48	5.65728942868241e-21	0.850016232694136	0.867	0.1	1.08382350874698e-16	Dendritic cells	CD48
LILRB4	6.24420406546643e-21	0.989883083775544	0.867	0.1	1.19626461486206e-16	Dendritic cells	LILRB4
HCLS1	2.43399683595709e-20	0.767615611546283	0.933	0.121	4.6630511383266e-16	Dendritic cells	HCLS1
LILRB2	2.86796155737268e-20	0.46738772967617	0.467	0.029	5.49444075161458e-16	Dendritic cells	LILRB2
HCK	3.15154699637157e-20	0.709158421162889	0.733	0.076	6.03773373564866e-16	Dendritic cells	HCK
CD53	3.76008096183114e-20	0.918725223512373	0.933	0.124	7.2035631066761e-16	Dendritic cells	CD53
RNASE6	4.5336319883245e-20	1.19781659226756	0.867	0.102	8.68553216323207e-16	Dendritic cells	RNASE6
SPI1	6.77266635634384e-20	1.28657502796358	0.933	0.132	1.29750742054835e-15	Dendritic cells	SPI1
TYROBP	8.20863697035997e-20	1.78659266506586	1	0.147	1.57261067078156e-15	Dendritic cells	TYROBP
FCER1G	2.43614810443572e-19	1.28754809369612	1	0.136	4.66717253847796e-15	Dendritic cells	FCER1G
CLEC10A	4.56153358849597e-19	0.980144744995149	0.467	0.031	8.73898604884059e-15	Dendritic cells	CLEC10A
CHST11	1.18226185956837e-18	0.53412304525036	0.6	0.056	2.26497727056109e-14	Dendritic cells	CHST11
ALOX5AP	1.47575247557927e-18	1.33300582284651	0.667	0.069	2.82724659271476e-14	Dendritic cells	ALOX5AP
PLAUR	3.6434678748493e-18	1.28553134615246	1	0.18	6.98015575463629e-14	Dendritic cells	PLAUR
IFI30	7.03382599243055e-18	0.962577669817432	0.867	0.119	1.34754038362985e-13	Dendritic cells	IFI30
CSF2RA	7.75907403278569e-18	0.979831614039477	0.6	0.06	1.48648340320108e-13	Dendritic cells	CSF2RA
SGK1	9.40563102826973e-18	1.28209639194294	1	0.187	1.80193079239592e-13	Dendritic cells	SGK1
BCL2A1	9.84981996497361e-18	1.09380356071564	0.733	0.087	1.88702850888964e-13	Dendritic cells	BCL2A1
HLA-DQA1	1.22012581338752e-17	2.10592957987647	0.933	0.15	2.33751703328781e-13	Dendritic cells	HLA-DQA1
ITGAM	1.34937242714906e-17	0.438732878355483	0.533	0.044	2.58512769593217e-13	Dendritic cells	ITGAM
BTK	1.95617575642595e-17	0.534189604670948	0.533	0.046	3.74764151416084e-13	Dendritic cells	BTK
LST1	2.66400264310333e-17	0.937434047102535	0.667	0.076	5.10369626365736e-13	Dendritic cells	LST1
CLEC5A	3.16767930419595e-17	0.296650875563407	0.4	0.025	6.0686400109786e-13	Dendritic cells	CLEC5A
FMNL1	4.60874062577295e-17	0.698972169157659	0.8	0.116	8.82942529085581e-13	Dendritic cells	FMNL1
