p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AQP4	0	3.3324924929299	0.911	0.021	0	Astrocytes	AQP4
AQP1	0	2.68784994586867	0.667	0.019	0	Astrocytes	AQP1
FAM107A	0	2.09931495849467	0.601	0.011	0	Astrocytes	FAM107A
GFAP	6.32199956999376e-305	2.95700558724565	0.869	0.056	1.65181204764797e-300	Astrocytes	GFAP
F3	3.29029750585297e-302	1.91504789637057	0.56	0.014	8.59688932329265e-298	Astrocytes	F3
ITM2C	4.26744967093191e-258	2.77517185352904	0.911	0.087	1.11499925002109e-253	Astrocytes	ITM2C
EDNRB	2.18198867545922e-254	1.96894652525908	0.613	0.027	5.70110001123984e-250	Astrocytes	EDNRB
NTRK2	8.18431737902746e-237	1.88595725093707	0.482	0.015	2.13839844479229e-232	Astrocytes	NTRK2
SNORC	1.2323241159561e-234	1.42419749843481	0.315	0.002	3.2198164501701e-230	Astrocytes	SNORC
APLNR	1.90197136631614e-234	1.57504004047577	0.315	0.002	4.96947078591081e-230	Astrocytes	APLNR
MT1E	4.40126252902101e-228	1.93650660329694	0.571	0.027	1.14996187358261e-223	Astrocytes	MT1E
SPARCL1	2.61250096263331e-227	2.95160952934911	0.81	0.073	6.82594251516831e-223	Astrocytes	SPARCL1
CLU	2.69224989770545e-225	2.97258592500896	0.952	0.123	7.0343105327248e-221	Astrocytes	CLU
KCNN3	9.23596960616215e-221	1.48718063897064	0.321	0.004	2.41317413869805e-216	Astrocytes	KCNN3
AGT	1.48849515510569e-215	1.41264223804711	0.381	0.008	3.88914014126015e-211	Astrocytes	AGT
CD99	2.46194662389443e-214	2.08087769645103	0.619	0.038	6.43257413891137e-210	Astrocytes	CD99
ID3	7.84082556350723e-192	2.43228759284895	0.673	0.057	2.04865090323317e-187	Astrocytes	ID3
C1R	6.04640620815097e-187	1.11561998794455	0.304	0.005	1.57980501406569e-182	Astrocytes	C1R
CRYAB	3.21852645990825e-184	2.95853930272585	0.708	0.066	8.40936593444826e-180	Astrocytes	CRYAB
APOE	3.30717856087587e-175	1.66943551254808	0.613	0.046	8.64099614385649e-171	Astrocytes	APOE
ATP1A2	5.28638359295833e-175	1.55752128831895	0.435	0.02	1.38122630516815e-170	Astrocytes	ATP1A2
GJA1	1.55378051241805e-170	1.3492125982371	0.375	0.013	4.05971772284588e-166	Astrocytes	GJA1
ATP1B2	6.87609686803691e-166	1.74355344035216	0.565	0.042	1.79658658968068e-161	Astrocytes	ATP1B2
DTNA	6.11599078670089e-165	1.76323795967459	0.571	0.044	1.59798607274921e-160	Astrocytes	DTNA
MT1X	4.83249185510758e-164	1.86696416204457	0.631	0.056	1.26263347190251e-159	Astrocytes	MT1X
TIMP3	2.2648663119602e-162	1.53973466677376	0.524	0.035	5.9176426998896e-158	Astrocytes	TIMP3
C21orf62	2.55378643492184e-162	1.18984416605517	0.286	0.006	6.67253319716379e-158	Astrocytes	C21orf62
BAALC-AS1	3.9507701337794e-157	1.14998127208757	0.292	0.007	1.03225722055388e-152	Astrocytes	BAALC-AS1
SLC1A3	5.54522582121471e-153	1.71249410550545	0.685	0.073	1.44885660256698e-148	Astrocytes	SLC1A3
SPARC	3.96523895255846e-148	1.37483509850897	0.56	0.046	1.03603763352447e-143	Astrocytes	SPARC
MLC1	7.05686996448694e-144	1.37930878622002	0.369	0.017	1.84381898432115e-139	Astrocytes	MLC1
ID4	1.14783398957463e-143	1.74722709329048	0.673	0.077	2.9990606479606e-139	Astrocytes	ID4
MT3	1.81336065604e-142	2.11638681001244	0.905	0.169	4.73794872210132e-138	Astrocytes	MT3
CRISPLD1	1.13991453472445e-138	1.20216143677628	0.339	0.015	2.97836869632804e-134	Astrocytes	CRISPLD1
ID1	2.15976649948661e-137	1.31598342232792	0.351	0.017	5.64303790985862e-133	Astrocytes	ID1
CNN3	2.59774470243441e-137	1.9816511391694	0.804	0.131	6.78738735852063e-133	Astrocytes	CNN3
CST3	1.47213854783781e-135	2.12327372597052	0.857	0.166	3.84640359779064e-131	Astrocytes	CST3
NMB	5.6429705518254e-135	1.37142305735205	0.339	0.016	1.47439534578094e-130	Astrocytes	NMB
RGMA	2.76121236405908e-132	1.15565887911429	0.339	0.016	7.21449566481357e-128	Astrocytes	RGMA
CCDC80	1.7520931577604e-129	1.2772822009982	0.429	0.029	4.57786900259639e-125	Astrocytes	CCDC80
EMP1	1.08680762769432e-128	1.27014753323405	0.321	0.014	2.83961096963972e-124	Astrocytes	EMP1
S100A10	4.01754110563302e-123	1.53131460954984	0.417	0.03	1.0497031400798e-118	Astrocytes	S100A10
CD44	5.1204371738854e-122	1.28244683733138	0.369	0.022	1.33786782479278e-117	Astrocytes	CD44
IFITM3	5.87757684012782e-119	1.73866633500081	0.565	0.063	1.5356932767886e-114	Astrocytes	IFITM3
VIM	6.84018799543791e-118	1.4857296147613	0.786	0.125	1.78720431944802e-113	Astrocytes	VIM
FADS2	5.07732009204135e-117	1.8066616477504	0.661	0.097	1.32660219364856e-112	Astrocytes	FADS2
IGFBP7	3.95109047808584e-107	0.888043397817984	0.292	0.015	1.03234092011427e-102	Astrocytes	IGFBP7
MT1M	1.40460598737793e-105	1.03086792573629	0.31	0.018	3.66995452382107e-101	Astrocytes	MT1M
ACTN1	2.32316302334136e-101	1.16606653839641	0.369	0.029	6.06996034738631e-97	Astrocytes	ACTN1
S100A6	1.19931756502557e-97	1.76339081675345	0.583	0.087	3.1335769338988e-93	Astrocytes	S100A6
WLS	6.35473306286027e-96	0.977372475499516	0.315	0.021	1.66036465466413e-91	Astrocytes	WLS
MT1F	1.45580307541151e-94	1.09817969540842	0.321	0.023	3.8037222754352e-90	Astrocytes	MT1F
PON2	4.16061646242787e-92	1.42434559725622	0.637	0.108	1.08708586930315e-87	Astrocytes	PON2
TTYH1	2.88141621637955e-91	1.43335620877541	0.458	0.054	7.52856429015648e-87	Astrocytes	TTYH1
HLA-E	2.75524137599857e-90	1.24072481168389	0.464	0.054	7.19889466720907e-86	Astrocytes	HLA-E
MT2A	1.18983722923373e-86	1.52044203192686	0.72	0.151	3.10880671254189e-82	Astrocytes	MT2A
ITGA6	2.05928591524365e-86	0.876714305334713	0.256	0.015	5.38050223934861e-82	Astrocytes	ITGA6
TNC	3.61030684037742e-84	1.00819129572912	0.345	0.031	9.43300971253813e-80	Astrocytes	TNC
BST2	4.99609786886035e-83	1.08660522729229	0.339	0.03	1.30538045117583e-78	Astrocytes	BST2
PMP22	5.24445130824759e-83	1.01523399982945	0.321	0.027	1.37027023781893e-78	Astrocytes	PMP22
MASP1	3.65792487800684e-82	0.78047344314286	0.286	0.021	9.55742612125627e-78	Astrocytes	MASP1
DCLK1	4.41276491199123e-75	1.22351251731551	0.482	0.072	1.15296721620507e-70	Astrocytes	DCLK1
OGFRL1	7.38767542049744e-75	0.910657522493579	0.333	0.033	1.93025183386757e-70	Astrocytes	OGFRL1
SOD2	1.8018407999209e-74	1.27155768739054	0.405	0.051	4.70784964203332e-70	Astrocytes	SOD2
PMP2	9.22576384234162e-74	1.44821138767542	0.863	0.295	2.41050757672702e-69	Astrocytes	PMP2
IFI44L	6.54323306343139e-71	1.36687159438821	0.381	0.047	1.70961593481335e-66	Astrocytes	IFI44L
ANXA2	2.88036725367905e-70	1.03373593817882	0.304	0.029	7.52582356041262e-66	Astrocytes	ANXA2
GLUL	3.11924029171024e-70	1.17689563106083	0.548	0.098	8.14995103418053e-66	Astrocytes	GLUL
AHCYL1	9.06528961483748e-69	1.301241187484	0.458	0.072	2.36857887056474e-64	Astrocytes	AHCYL1
