p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
IL1RN	2.77023485879556e-244	1.3688299390336	0.571	0.001	5.52384830843835e-240	Dendritic cells	IL1RN
CD86	2.14875517017883e-145	1.31085562334999	0.857	0.006	4.28461780933658e-141	Dendritic cells	CD86
C15orf48	2.39954580592543e-128	2.39926332243103	0.714	0.005	4.78469433701531e-124	Dendritic cells	C15orf48
CTSH	9.68826346962427e-116	1.93004601192636	1	0.012	1.93183973584308e-111	Dendritic cells	CTSH
IL4I1	8.27943023514845e-102	1.43773706900126	0.714	0.007	1.6509183888886e-97	Dendritic cells	IL4I1
NCF1	5.84993149623797e-99	1.5746265457827	0.714	0.007	1.16647634034985e-94	Dendritic cells	NCF1
CALHM6	7.67159038096723e-97	2.27965617188736	1	0.015	1.52971512196487e-92	Dendritic cells	CALHM6
FCGR2B	5.40980801840829e-96	1.2108074998289	0.571	0.004	1.07871571887061e-91	Dendritic cells	FCGR2B
HCST	1.37519870152605e-89	2.12452136698766	1	0.016	2.74214621084294e-85	Dendritic cells	HCST
CLEC2B	1.78890980527691e-88	2.21264546807673	0.857	0.012	3.56708615172215e-84	Dendritic cells	CLEC2B
SERPINB9	3.32733414701245e-85	1.0030501236152	0.571	0.005	6.63470428914282e-81	Dendritic cells	SERPINB9
TFEC	2.00601465417899e-79	0.413381933840834	0.286	0.001	3.99999322043291e-75	Dendritic cells	TFEC
CD300C	8.00652761538182e-70	0.803158746620913	0.286	0.001	1.59650160650713e-65	Dendritic cells	CD300C
EVI2B	1.73983144501521e-69	1.69726279774589	0.714	0.01	3.46922390136032e-65	Dendritic cells	EVI2B
LAPTM5	1.52097137194225e-66	2.3946595776865	1	0.022	3.03281691565285e-62	Dendritic cells	LAPTM5
FCER1G	1.85256616426678e-66	2.8552849117965	1	0.022	3.69401693154795e-62	Dendritic cells	FCER1G
TYROBP	5.6996579816593e-66	3.36141919535636	1	0.022	1.13651180154286e-61	Dendritic cells	TYROBP
ALOX5AP	6.69634317864045e-63	3.00105649398876	1	0.023	1.33525082982091e-58	Dendritic cells	ALOX5AP
SLC2A5	8.96449727696171e-63	1.28548460673917	0.714	0.011	1.78752075702616e-58	Dendritic cells	SLC2A5
LY75	4.46535559513216e-62	0.4136301559956	0.286	0.002	8.90391905669352e-58	Dendritic cells	LY75
LINC00578	5.40187526850487e-62	0.412805406662494	0.286	0.002	1.07713392853987e-57	Dendritic cells	LINC00578
S100A9	2.7033699221588e-58	1.88143091619347	0.714	0.012	5.39051962478466e-54	Dendritic cells	S100A9
GPNMB	3.83884575949967e-58	1.8645036868337	0.714	0.013	7.65465844444235e-54	Dendritic cells	GPNMB
TLR2	5.33885045553503e-57	0.768736699209764	0.429	0.004	1.06456678083368e-52	Dendritic cells	TLR2
BCL2A1	1.39419006243125e-55	0.970012842589921	0.571	0.008	2.78001498448792e-51	Dendritic cells	BCL2A1
FCGR3A	1.36765256111869e-53	2.58176689055163	0.857	0.02	2.72709920687067e-49	Dendritic cells	FCGR3A
RGS1	2.24634592543568e-53	2.5895702127484	0.857	0.02	4.47921377531875e-49	Dendritic cells	RGS1
PCED1B-AS1	1.85027560788686e-52	1.71390538997607	0.714	0.014	3.68944956212639e-48	Dendritic cells	PCED1B-AS1
NRROS	3.84719013249437e-51	0.702765770125572	0.286	0.002	7.67129712419377e-47	Dendritic cells	NRROS
SRGN	1.16899858292941e-50	2.91513883548126	0.857	0.021	2.33098317436125e-46	Dendritic cells	SRGN
PLEK	2.30671567393237e-50	0.928616190182335	0.429	0.005	4.59959105382114e-46	Dendritic cells	PLEK
APOC1	9.10714912185974e-50	3.01347284151846	1	0.03	1.81596553489883e-45	Dendritic cells	APOC1
TGFBI	1.33952843068287e-49	1.54322101053176	0.571	0.009	2.67101969078163e-45	Dendritic cells	TGFBI
CD300A	2.59092134977542e-49	1.02645182526372	0.571	0.009	5.16629717145218e-45	Dendritic cells	CD300A
C5AR1	1.96110286257562e-48	1.10021822605985	0.429	0.005	3.91043910797579e-44	Dendritic cells	C5AR1
FBP1	2.46958659383467e-48	0.785462640959189	0.429	0.005	4.92435566810633e-44	Dendritic cells	FBP1
HLA-DPA1	3.78378505571287e-48	3.01997334941952	1	0.031	7.54486740109147e-44	Dendritic cells	HLA-DPA1
AIF1	4.55573462089173e-48	2.47518874997837	0.857	0.022	9.0841348340581e-44	Dendritic cells	AIF1
C1QA	3.98415657984867e-47	3.39384386687539	0.857	0.023	7.94440822021826e-43	Dendritic cells	C1QA
APOL3	7.67320912055677e-47	0.412719554265125	0.286	0.002	1.53003789863902e-42	Dendritic cells	APOL3
C3AR1	6.49349140260299e-46	0.746743126938904	0.571	0.01	1.29480218567904e-41	Dendritic cells	C3AR1
ITGB2	2.71985433491482e-45	1.98826042027121	0.714	0.016	5.42338954382016e-41	Dendritic cells	ITGB2
PARVG	8.66696747389328e-45	0.604160534014806	0.429	0.006	1.72819331429432e-40	Dendritic cells	PARVG
S100A4	1.02504845561217e-44	1.76114825636059	0.714	0.017	2.04394662049066e-40	Dendritic cells	S100A4
SERPINB1	1.08311702294685e-44	1.08535483180849	0.571	0.01	2.15973534375603e-40	Dendritic cells	SERPINB1
HLA-DQB1	1.35126753153112e-44	1.68565090202594	0.714	0.016	2.69442745787306e-40	Dendritic cells	HLA-DQB1
SLC7A7	2.1651583728321e-43	0.777904488679898	0.429	0.006	4.31732579542721e-39	Dendritic cells	SLC7A7
LYZ	2.67984073386747e-43	2.46016381655922	0.571	0.011	5.34360242333173e-39	Dendritic cells	LYZ
CRYBB1	2.80698393572609e-43	0.411924455846503	0.286	0.003	5.59712596783782e-39	Dendritic cells	CRYBB1
TRAF3IP3	3.20208518472858e-43	0.409309610237786	0.286	0.003	6.38495785834879e-39	Dendritic cells	TRAF3IP3
C1QB	6.89239297010318e-43	3.26440272636085	0.857	0.025	1.37434315823857e-38	Dendritic cells	C1QB
TREM2	1.89547347133004e-42	2.19131363557833	0.714	0.018	3.7795741018321e-38	Dendritic cells	TREM2
TMIGD3	9.63230579120108e-41	1.37004325888017	0.714	0.018	1.92068177476549e-36	Dendritic cells	TMIGD3
MS4A7	1.49318975063155e-40	1.36424947937807	0.714	0.018	2.9774203627593e-36	Dendritic cells	MS4A7
IRF8	3.32139411396818e-40	0.417213957428746	0.286	0.003	6.62285986325255e-36	Dendritic cells	IRF8
CD14	6.09838888200773e-40	2.93120711391277	0.714	0.019	1.21601874307234e-35	Dendritic cells	CD14
FCGR1A	1.15234911042783e-39	1.16530153959925	0.571	0.012	2.29778412619309e-35	Dendritic cells	FCGR1A
OLR1	2.7216362786175e-39	0.599995723063462	0.429	0.007	5.42694273956329e-35	Dendritic cells	OLR1
GPR65	3.02810103820454e-39	0.600870691628118	0.429	0.007	6.03803347017985e-35	Dendritic cells	GPR65
CD68	4.0566750248522e-39	1.89622598998982	0.857	0.028	8.08900999955528e-35	Dendritic cells	CD68
CD74	1.51024679204997e-38	3.36862226512641	1	0.04	3.01143210334763e-34	Dendritic cells	CD74
LILRB4	2.12532504414805e-38	1.18009810299452	0.571	0.012	4.23789813803121e-34	Dendritic cells	LILRB4
DOCK8	2.55449080672903e-38	0.692466138804648	0.429	0.007	5.09365466861769e-34	Dendritic cells	DOCK8
PTAFR	4.1787675072886e-38	0.599174045636567	0.429	0.007	8.33246240953348e-34	Dendritic cells	PTAFR
GPR160	8.02780963927998e-38	1.49295644851127	0.286	0.003	1.60074524207243e-33	Dendritic cells	GPR160
VAMP8	1.09247921002923e-37	1.88266415480151	0.857	0.029	2.17840354479829e-33	Dendritic cells	VAMP8
EMB	1.17501888414952e-37	0.622313137112581	0.286	0.003	2.34298765499413e-33	Dendritic cells	EMB
CD53	4.05562761615409e-37	1.06572181694999	0.571	0.013	8.08692146661125e-33	Dendritic cells	CD53
CYBA	1.22298665432388e-36	2.16383973836459	0.714	0.02	2.43863538872182e-32	Dendritic cells	CYBA
HLA-DRA	5.37405145805445e-36	2.99851317887285	0.857	0.031	1.07158586073606e-31	Dendritic cells	HLA-DRA
IFI30	7.52947994974759e-36	2.43969076297858	0.857	0.032	1.50137830197967e-31	Dendritic cells	IFI30
ARHGDIB	1.03298606739774e-35	1.8390054038346	0.714	0.021	2.05977421839109e-31	Dendritic cells	ARHGDIB
ARHGAP30	1.67293046002568e-35	1.40968089684	0.286	0.003	3.3358233372912e-31	Dendritic cells	ARHGAP30
CYTIP	1.67293046002568e-35	0.686007387680054	0.286	0.003	3.3358233372912e-31	Dendritic cells	CYTIP
C1QC	2.47667702419413e-35	2.84389663893439	0.714	0.021	4.93849398624309e-31	Dendritic cells	C1QC
PYCARD	6.40433165573927e-35	1.16928077726762	0.714	0.022	1.27702373215441e-30	Dendritic cells	PYCARD
LY86	8.21153121994667e-35	1.16883043704717	0.571	0.014	1.63737932525736e-30	Dendritic cells	LY86
HLA-DQA1	3.42130600317249e-34	1.50046423967783	0.571	0.014	6.82208417032595e-30	Dendritic cells	HLA-DQA1
SERPINA1	1.43614922119602e-33	1.46349795712074	0.571	0.014	2.86368154706486e-29	Dendritic cells	SERPINA1
GPSM3	1.43614922119602e-33	1.34144956929845	0.571	0.014	2.86368154706486e-29	Dendritic cells	GPSM3
SLAMF9	1.99312381710635e-33	1.13812295711352	0.286	0.003	3.97428889131006e-29	Dendritic cells	SLAMF9
MSLN	2.27978460655893e-33	0.728848875106905	0.286	0.003	4.5458905054785e-29	Dendritic cells	MSLN
C1orf162	4.62129021585529e-33	2.07760663384693	0.714	0.023	9.21485269041545e-29	Dendritic cells	C1orf162
HLA-DMA	4.66164945460228e-33	1.61282582441854	0.714	0.023	9.29532901247694e-29	Dendritic cells	HLA-DMA
RGS10	1.71777290227936e-32	1.30389681631764	0.714	0.023	3.42523916714505e-28	Dendritic cells	RGS10
HLA-DRB1	1.13402720855991e-31	2.87121999166617	0.714	0.024	2.26125025386846e-27	Dendritic cells	HLA-DRB1
ALOX5	1.48977829285926e-31	0.728730873204892	0.286	0.004	2.97061791596136e-27	Dendritic cells	ALOX5
S100A11	2.26044195182538e-30	2.96115715936857	1	0.053	4.50732125193981e-26	Dendritic cells	S100A11
DHX58	5.56828929264748e-30	0.417227743425626	0.286	0.004	1.11031688495391e-25	Dendritic cells	DHX58
CYTH4	6.09336160093441e-30	0.415239464866425	0.286	0.004	1.21501630322632e-25	Dendritic cells	CYTH4
TNFSF10	7.98182958570262e-30	0.404443901265153	0.286	0.004	1.5915768193891e-25	Dendritic cells	TNFSF10
VSIR	1.65374964945641e-29	1.12156833272817	0.571	0.016	3.29757680101607e-25	Dendritic cells	VSIR
RNASE2	1.74176302409208e-29	0.927211391554893	0.429	0.009	3.47307547003961e-25	Dendritic cells	RNASE2
S100A8	9.2933533864141e-29	1.0613045855026	0.429	0.009	1.85309466525097e-24	Dendritic cells	S100A8
IL16	1.49286003326245e-28	0.694120610026552	0.286	0.004	2.97676290632532e-24	Dendritic cells	IL16
LILRB1	1.53609523066881e-28	0.715742784326104	0.286	0.004	3.0629738899536e-24	Dendritic cells	LILRB1
SPP1	2.44094847805289e-28	4.09103428895149	1	0.058	4.86725126523746e-24	Dendritic cells	SPP1
SLA	2.08869197975038e-27	1.19091873160032	0.571	0.018	4.16485180762225e-23	Dendritic cells	SLA
AC110995.1	3.26610696420864e-27	0.408612111761214	0.286	0.004	6.51261728663203e-23	Dendritic cells	AC110995.1
APBB1IP	4.05616338238085e-26	0.993123561318794	0.429	0.01	8.08798978446742e-22	Dendritic cells	APBB1IP
DOK3	4.87095962575048e-26	0.409560374084627	0.286	0.005	9.71269349374646e-22	Dendritic cells	DOK3
F13A1	7.18396047486053e-26	0.401386441579266	0.286	0.005	1.43248171868719e-21	Dendritic cells	F13A1
ARHGAP18	9.72822809900895e-26	0.978664486994496	0.429	0.011	1.93980868294239e-21	Dendritic cells	ARHGAP18
MAP3K8	2.71237174378758e-25	1.07942734421415	0.429	0.011	5.40846925711243e-21	Dendritic cells	MAP3K8
ADGRE2	5.60774171598099e-25	0.408616359800977	0.286	0.005	1.11818369816661e-20	Dendritic cells	ADGRE2
CD33	6.50806028133425e-25	0.503738449977503	0.286	0.005	1.29770722009805e-20	Dendritic cells	CD33
CD163	7.05375100045847e-25	0.810359659952885	0.429	0.011	1.40651794949142e-20	Dendritic cells	CD163
ST14	8.76021045193239e-25	0.402165887498621	0.286	0.005	1.74678596411532e-20	Dendritic cells	ST14
TNFSF13B	8.77841221980415e-25	1.68232579643894	0.714	0.032	1.75041539662895e-20	Dendritic cells	TNFSF13B
LAIR1	1.13507321066893e-24	1.50303809381824	0.429	0.011	2.26333598207385e-20	Dendritic cells	LAIR1
RNASE1	3.50619068354449e-24	2.57774353198089	0.571	0.021	6.9913442229877e-20	Dendritic cells	RNASE1
LINC01094	3.64624440076291e-24	0.825947491350279	0.429	0.011	7.27061133512124e-20	Dendritic cells	LINC01094
HAVCR2	3.9524063121241e-24	0.90239861331836	0.429	0.011	7.88109818637546e-20	Dendritic cells	HAVCR2
FXYD5	4.43197085846934e-24	0.922235978740103	0.571	0.02	8.83734989178787e-20	Dendritic cells	FXYD5
LAT2	4.83570008877853e-24	1.06697840130054	0.429	0.012	9.64238597702438e-20	Dendritic cells	LAT2
SIGIRR	5.79766718639943e-24	0.796291229660702	0.286	0.005	1.15605483696805e-19	Dendritic cells	SIGIRR
AC004687.1	4.54193638454308e-23	0.808253042252252	0.286	0.005	9.0566211507789e-19	Dendritic cells	AC004687.1
GMFG	4.90280173400939e-23	1.03694116758943	0.571	0.021	9.77618665761472e-19	Dendritic cells	GMFG
PIK3AP1	5.09127881918059e-23	0.407216707572135	0.286	0.005	1.01520099654461e-18	Dendritic cells	PIK3AP1
SIGLEC10	5.20879540884369e-23	0.616895710737561	0.286	0.005	1.03863380452343e-18	Dendritic cells	SIGLEC10
VMO1	9.33453392899733e-23	1.71339078381029	0.571	0.022	1.86130606544207e-18	Dendritic cells	VMO1
NPL	1.13255664987506e-22	1.59860031901559	0.571	0.022	2.25831795985087e-18	Dendritic cells	NPL
CD37	1.46165790846985e-22	0.733482032339636	0.429	0.012	2.91454586948887e-18	Dendritic cells	CD37
GPR34	3.78973858596829e-22	1.01554100733941	0.429	0.013	7.55673874042077e-18	Dendritic cells	GPR34
IL10RA	4.2240381865241e-22	0.61507854978972	0.286	0.005	8.42273214392906e-18	Dendritic cells	IL10RA
TNFRSF14	4.31757848563868e-22	0.40366038816893	0.286	0.005	8.60925150036352e-18	Dendritic cells	TNFRSF14
SPI1	1.13299408001853e-21	0.93890202755115	0.429	0.013	2.25919019555694e-17	Dendritic cells	SPI1
HCK	2.53231280041211e-21	0.516841618868753	0.286	0.006	5.04943172402174e-17	Dendritic cells	HCK
CTSZ	2.64785767283037e-21	1.89401601456662	0.571	0.024	5.27982819962375e-17	Dendritic cells	CTSZ
RNASE6	8.12123753937051e-21	0.864616289404079	0.429	0.013	1.61937476535048e-16	Dendritic cells	RNASE6
MS4A4A	1.38370603763493e-20	1.38459519487149	0.429	0.014	2.75910983904405e-16	Dendritic cells	MS4A4A
SPINT2	1.65076115671035e-20	1.25389592422191	0.429	0.014	3.29161774648044e-16	Dendritic cells	SPINT2
PLIN2	2.02980643254326e-20	2.2933052562887	0.571	0.025	4.04743402649126e-16	Dendritic cells	PLIN2
HPGDS	4.41699972577053e-20	0.849049501409919	0.286	0.006	8.80749745318644e-16	Dendritic cells	HPGDS
HAMP	6.12505986436714e-20	1.37153904528774	0.429	0.014	1.22133693695481e-15	Dendritic cells	HAMP
FCGBP	1.32509031149628e-19	1.13157764893619	0.429	0.014	2.64223008112358e-15	Dendritic cells	FCGBP
IBSP	1.9358346922132e-19	2.78749878506938	0.286	0.006	3.86005437627312e-15	Dendritic cells	IBSP
NCKAP1L	2.17022705921063e-19	0.674532412503929	0.286	0.006	4.32743275606599e-15	Dendritic cells	NCKAP1L
CXCL8	7.1677542800301e-19	2.18774626791155	0.286	0.007	1.429250203438e-14	Dendritic cells	CXCL8
PAPSS2	7.1677542800301e-19	0.800463557059682	0.286	0.007	1.429250203438e-14	Dendritic cells	PAPSS2
APOC2	1.04733688154287e-18	2.50921667385962	0.429	0.015	2.08838974179648e-14	Dendritic cells	APOC2
VSIG4	1.19472360652678e-18	1.20053456902796	0.429	0.015	2.3822788714144e-14	Dendritic cells	VSIG4
FCGR2A	1.51267059676466e-18	1.48552555966913	0.429	0.015	3.01626516994872e-14	Dendritic cells	FCGR2A
PILRA	1.89987608489369e-18	1.30724632710597	0.429	0.015	3.78835291327803e-14	Dendritic cells	PILRA
HLA-DPB1	2.49007139492013e-18	2.61349298851363	0.714	0.044	4.96520236147074e-14	Dendritic cells	HLA-DPB1
NUPR1	2.70965685420108e-18	2.80608803569085	0.857	0.065	5.40305576727695e-14	Dendritic cells	NUPR1
LRMDA	3.03183956451059e-18	1.3979354178517	0.286	0.007	6.04548809163412e-14	Dendritic cells	LRMDA
LY96	3.68101245336677e-18	1.25660866579844	0.571	0.028	7.33993883201333e-14	Dendritic cells	LY96
CASP1	4.25267667991877e-18	0.594152988006626	0.286	0.007	8.47983729975803e-14	Dendritic cells	CASP1
CTSS	5.28151371141413e-18	0.804082293061772	0.429	0.015	1.05313383405598e-13	Dendritic cells	CTSS
MYO1F	1.42496838386221e-17	0.659567764193168	0.429	0.016	2.84138695742124e-13	Dendritic cells	MYO1F
SCIN	1.77699017379881e-17	0.403404976902844	0.286	0.007	3.54331840655483e-13	Dendritic cells	SCIN
CSTA	2.86068825814078e-17	0.837940454542219	0.286	0.007	5.70421238673272e-13	Dendritic cells	CSTA
TNFRSF1B	3.16421432116379e-17	0.682332435955224	0.286	0.007	6.30944335640059e-13	Dendritic cells	TNFRSF1B
C3	4.28477410634869e-17	1.58733175882073	0.429	0.017	8.54383956805928e-13	Dendritic cells	C3
EMP1	6.72984807453609e-17	1.57798594538076	0.429	0.017	1.3419317060625e-12	Dendritic cells	EMP1
IGSF6	1.01184223273841e-16	0.69393268927349	0.286	0.008	2.0176134120804e-12	Dendritic cells	IGSF6
CLEC7A	1.02846272214345e-16	0.700987524811702	0.286	0.008	2.05075466795403e-12	Dendritic cells	CLEC7A
MS4A6A	2.56580234776852e-16	1.49739381864257	0.429	0.017	5.11620988145042e-12	Dendritic cells	MS4A6A
PTPN6	3.38914048067024e-16	0.6090351182331	0.286	0.008	6.75794611845645e-12	Dendritic cells	PTPN6
KCTD12	6.56478794505163e-16	1.26415503194683	0.571	0.033	1.3090187162433e-11	Dendritic cells	KCTD12
GPR183	8.70876612215484e-16	0.662675053696036	0.286	0.008	1.73652796475767e-11	Dendritic cells	GPR183
TNFAIP8	1.77952475368735e-15	0.407326834506834	0.286	0.008	3.54837235885258e-11	Dendritic cells	TNFAIP8
HLA-E	4.61021124867861e-15	1.42582940184457	0.714	0.054	9.19276122986515e-11	Dendritic cells	HLA-E
FUOM	9.26959048579448e-15	0.514569129335228	0.286	0.009	1.84835634286742e-10	Dendritic cells	FUOM
TYMP	1.17213847954737e-14	1.61019285104906	0.571	0.036	2.33724412821745e-10	Dendritic cells	TYMP
LPAR6	2.03459051858875e-14	1.07858746277839	0.286	0.009	4.05697349406597e-10	Dendritic cells	LPAR6
APOE	2.08599356052478e-14	3.39874788604818	1	0.126	4.1594711596864e-10	Dendritic cells	APOE
LSP1	2.61981268945209e-14	1.95570037890631	0.429	0.02	5.22390650276747e-10	Dendritic cells	LSP1
PTPRC	2.83838646038643e-14	0.583144804753661	0.286	0.009	5.65974260201054e-10	Dendritic cells	PTPRC
PARP10	3.46137281695144e-14	0.794182572064921	0.286	0.009	6.90197739700117e-10	Dendritic cells	PARP10
STAT5A	3.91248861243961e-14	0.617518265392732	0.286	0.009	7.80150229320459e-10	Dendritic cells	STAT5A
LGALS9	4.13109224053103e-14	0.842586239688551	0.286	0.009	8.23739792761888e-10	Dendritic cells	LGALS9
SLC11A1	4.33403435825474e-14	1.48244471086435	0.429	0.02	8.64206451035995e-10	Dendritic cells	SLC11A1
ABI3	1.0721510341116e-13	0.67586591364053	0.286	0.009	2.13786916201853e-09	Dendritic cells	ABI3
GIMAP4	1.08641021945944e-13	0.670838276317849	0.286	0.009	2.16630197760212e-09	Dendritic cells	GIMAP4
IL18	1.3240531783794e-13	0.498170810460274	0.286	0.009	2.64016203768853e-09	Dendritic cells	IL18
ANXA1	2.80429510544464e-13	1.44473343848069	0.429	0.022	5.59176444025662e-09	Dendritic cells	ANXA1
MCUB	8.36672038137032e-13	1.17663986733432	0.714	0.067	1.66832404404524e-08	Dendritic cells	MCUB
JDP2	8.88380345117432e-13	0.787561500750344	0.286	0.01	1.77143040816416e-08	Dendritic cells	JDP2
FPR1	1.51261348022076e-11	0.486184278924127	0.286	0.011	3.0161512795602e-07	Dendritic cells	FPR1
SAMSN1	2.01731439444381e-11	1.0248091887637	0.286	0.012	4.02252490252096e-07	Dendritic cells	SAMSN1
TREM1	2.10625126354778e-11	1.3417188798806	0.286	0.012	4.19986501951428e-07	Dendritic cells	TREM1
TMEM176B	2.55144597070379e-11	1.52904572416278	0.571	0.048	5.08758326558336e-07	Dendritic cells	TMEM176B
SLCO2B1	2.78325220060122e-11	0.373512680674954	0.286	0.011	5.54980488799883e-07	Dendritic cells	SLCO2B1
LUCAT1	5.37987558308342e-11	0.897842354651227	0.286	0.012	1.07274719126683e-06	Dendritic cells	LUCAT1
CSF1R	5.5664276817223e-11	0.491030486433347	0.286	0.012	1.10994567973543e-06	Dendritic cells	CSF1R
RNASET2	6.77741083127575e-11	2.91465355485975	1	0.194	1.35141571975638e-06	Dendritic cells	RNASET2
CASP4	6.82560792374433e-11	0.483362019448983	0.286	0.012	1.36102621999462e-06	Dendritic cells	CASP4
IER3	1.25804715731766e-10	0.732731246347583	0.286	0.012	2.50854603169142e-06	Dendritic cells	IER3
TGFB1	2.68941479096818e-10	0.394510025443002	0.286	0.013	5.36269309319055e-06	Dendritic cells	TGFB1
COPZ2	4.4397145440943e-10	0.693344810422379	0.286	0.013	8.85279080092404e-06	Dendritic cells	COPZ2
CAPG	4.92221999348319e-10	0.363006603258882	0.286	0.013	9.81490666700548e-06	Dendritic cells	CAPG
GYPC	8.29224722476059e-10	0.676335653978626	0.286	0.013	1.65347409661726e-05	Dendritic cells	GYPC
NR4A2	2.70931880919501e-09	1.25627139556008	0.429	0.033	5.40238170553485e-05	Dendritic cells	NR4A2
NPC2	3.08745503632676e-09	2.49634214944015	1	0.241	6.15638534243555e-05	Dendritic cells	NPC2
CREG1	3.25764106740871e-09	1.26722728172032	0.714	0.099	6.49573628841297e-05	Dendritic cells	CREG1
PARP3	5.39938343743881e-09	0.683078739485935	0.286	0.015	0.00010766370574253	Dendritic cells	PARP3
CCDC151	5.41332563640363e-09	0.399964918406605	0.286	0.015	0.000107941713189888	Dendritic cells	CCDC151
AC020916.1	5.88455468421454e-09	1.31977841446637	0.286	0.015	0.000117338020403238	Dendritic cells	AC020916.1
HSD17B11	6.70216789380921e-09	1.6724293864524	0.857	0.162	0.000133641227802556	Dendritic cells	HSD17B11
CCL3L1	8.33803477993317e-09	0.565156748511683	0.286	0.015	0.000166260413511867	Dendritic cells	CCL3L1
TMEM176A	9.56417535336596e-09	0.940534715027598	0.429	0.035	0.000190709656546117	Dendritic cells	TMEM176A
VAMP5	1.12947615926374e-08	1.08280366622095	0.429	0.036	0.000225217546157189	Dendritic cells	VAMP5
MVP	1.45537503191424e-08	0.502333483123918	0.286	0.016	0.000290201781363699	Dendritic cells	MVP
RAB20	1.61454981999091e-08	0.932933422717199	0.429	0.037	0.000321941234106188	Dendritic cells	RAB20
CEBPB	1.94239038325692e-08	1.88570229502301	0.571	0.066	0.000387312642421431	Dendritic cells	CEBPB
CD302	2.25946480707071e-08	0.568231921066076	0.429	0.037	0.0004505372825299	Dendritic cells	CD302
S100A10	3.66088836574545e-08	3.00908137356544	1	0.263	0.000729981140129642	Dendritic cells	S100A10
GLRX	3.86455192568887e-08	1.70984972071271	0.857	0.18	0.000770591653982362	Dendritic cells	GLRX
CCL4	4.02505265592038e-08	0.971440784220318	0.286	0.017	0.000802595499590524	Dendritic cells	CCL4
ANXA11	4.03990934310892e-08	0.389933255878401	0.286	0.017	0.000805557923015919	Dendritic cells	ANXA11
BST2	4.07917846415164e-08	1.24239647965098	0.286	0.017	0.000813388185751837	Dendritic cells	BST2
HLA-DMB	4.33895485958161e-08	0.711016483096549	0.286	0.017	0.000865187599000573	Dendritic cells	HLA-DMB
LHFPL2	4.58569893885841e-08	0.37872798474752	0.286	0.017	0.000914388368408367	Dendritic cells	LHFPL2
SP100	4.59228764396033e-08	0.595885730059412	0.286	0.017	0.00091570215620569	Dendritic cells	SP100
EIF5A2	4.73003282602576e-08	0.399818781048016	0.286	0.017	0.000943168545509536	Dendritic cells	EIF5A2
CPM	7.83769752060331e-08	0.666848416762234	0.286	0.018	0.0015628368856083	Dendritic cells	CPM
HMOX1	8.36027362497619e-08	0.626060777363416	0.286	0.018	0.00166703856082025	Dendritic cells	HMOX1
CXCR4	9.59675097942757e-08	0.955597926515789	0.429	0.039	0.00191359214529786	Dendritic cells	CXCR4
MYL12A	1.36523177901939e-07	1.40528137321003	0.857	0.204	0.00272227216736466	Dendritic cells	MYL12A
LST1	1.83991739583742e-07	1.44647803112302	0.571	0.078	0.00366879528729982	Dendritic cells	LST1
CMTM7	2.36396941011391e-07	0.3734388418642	0.286	0.019	0.00471375500376713	Dendritic cells	CMTM7
CCL4L2	2.73955358694779e-07	0.832242886211778	0.286	0.019	0.00546266985237389	Dendritic cells	CCL4L2
CCL3	3.48405482541233e-07	0.785696969275576	0.286	0.019	0.00694720532187218	Dendritic cells	CCL3
TBXAS1	4.0648710575564e-07	0.666649675227777	0.286	0.02	0.00810535288876747	Dendritic cells	TBXAS1
LGALS1	4.62924983329981e-07	2.38264924158392	1	0.327	0.00923072416759982	Dendritic cells	LGALS1
FCGRT	4.65718663192738e-07	1.51599152527551	0.714	0.135	0.0092864301440632	Dendritic cells	FCGRT
IFI44L	8.10853089308151e-07	1.00808179795465	0.286	0.021	0.0161684106008045	Dendritic cells	IFI44L
RAB32	8.35901392690685e-07	0.684105067651269	0.286	0.021	0.0166678737702523	Dendritic cells	RAB32
GBP2	1.8928169971507e-06	0.365135363591606	0.286	0.021	0.037742770923185	Dendritic cells	GBP2
IFIT3	2.0379798096363e-06	0.48180548145577	0.286	0.022	0.0406373174041479	Dendritic cells	IFIT3
CLIC1	2.30803645000048e-06	1.71068650182107	1	0.505	0.0460222468130095	Dendritic cells	CLIC1
PDPN	4.92137530382368e-06	1.87644513692714	0.714	0.154	0.0981322235582442	Dendritic cells	PDPN
SLC16A3	4.97927976954337e-06	1.33200661882955	0.571	0.094	0.0992868386046948	Dendritic cells	SLC16A3
IFIT1	5.26350911885331e-06	1.28997634942813	0.286	0.024	0.104954371829935	Dendritic cells	IFIT1
ELL2	5.73317404927049e-06	0.473904073917504	0.286	0.024	0.114319490542454	Dendritic cells	ELL2
ITGA4	5.76342995464797e-06	0.380144363936567	0.286	0.024	0.114922793295681	Dendritic cells	ITGA4
ARPC2	5.85856194382138e-06	1.42168913423319	1	0.78	0.116819725159798	Dendritic cells	ARPC2
FTL	7.06786009905615e-06	2.42773568557647	1	0.986	0.14093313037518	Dendritic cells	FTL
B2M	7.50902654585281e-06	2.52636731332906	1	0.921	0.149729989324305	Dendritic cells	B2M
