p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ACY3	7.03353449434703e-14	0.30546507613925	0.333	0.008	1.77561578309791e-09	Dendritic cells	ACY3
PLEK	1.46193853803265e-08	1.98267028722939	1	0.442	0.000369066383926341	Dendritic cells	PLEK
STX11	1.97711621435236e-07	1.36287495098089	0.917	0.323	0.00499122988313252	Dendritic cells	STX11
CCL3L3	3.87798299690757e-07	1.74143577812025	1	0.388	0.00978996807569316	Dendritic cells	CCL3L3
CCL4L2	3.9603575277218e-07	1.75936710147493	1	0.423	0.00999792257873368	Dendritic cells	CCL4L2
LPL	4.86314214325015e-07	1.17448145039039	0.833	0.238	0.012277002340635	Dendritic cells	LPL
ICAM1	4.96424798277596e-07	1.08844863206024	0.833	0.235	0.0125322440325179	Dendritic cells	ICAM1
CCL4	5.35960763417992e-07	1.62127639876324	1	0.446	0.0135303294724872	Dendritic cells	CCL4
GLUD1P3	5.65669545295899e-07	0.630693409758181	0.667	0.165	0.014280327670995	Dendritic cells	GLUD1P3
TNF	6.58042119022302e-07	0.543733174980161	0.917	0.238	0.016612273294718	Dendritic cells	TNF
EBI3	8.82284976008647e-07	0.647284528438059	0.583	0.115	0.0222732842193383	Dendritic cells	EBI3
SERPINB9	9.33924786328163e-07	1.33349353918671	1	0.469	0.0235769312308545	Dendritic cells	SERPINB9
HLA-DQA1	9.73674924739897e-07	0.713174850539923	1	0.396	0.0245804234750587	Dendritic cells	HLA-DQA1
CD83	1.74645483210597e-06	1.36145367475932	1	0.508	0.0440892522365153	Dendritic cells	CD83
CCL3	1.89842769258838e-06	1.53687263096125	1	0.431	0.0479258070993937	Dendritic cells	CCL3
HLA-DQA2	2.72833680324901e-06	0.78458476885218	0.917	0.385	0.0688768625980213	Dendritic cells	HLA-DQA2
OLR1	2.97931552450233e-06	1.33355861880057	1	0.377	0.0752128204160612	Dendritic cells	OLR1
CD74	3.03019072457238e-06	1.17456706861391	1	0.619	0.0764971648418298	Dendritic cells	CD74
LYN	3.22469156990927e-06	1.14527779468275	0.917	0.354	0.0814073386823595	Dendritic cells	LYN
PDCD1	3.53713168330458e-06	0.92955344374717	0.5	0.085	0.0892948893450242	Dendritic cells	PDCD1
RAB7B	4.05626261066575e-06	0.887101793898199	0.667	0.185	0.102400349606257	Dendritic cells	RAB7B
FLT1	5.02383982863045e-06	1.16563447958971	0.75	0.223	0.126826836473776	Dendritic cells	FLT1
IL1B	5.66867080049984e-06	1.13839389723155	0.833	0.238	0.143105594358618	Dendritic cells	IL1B
GPR183	7.24941401901076e-06	1.2717563613113	1	0.485	0.183011456909927	Dendritic cells	GPR183
HLA-DRB5	7.77357185287097e-06	0.945543259725929	1	0.515	0.196243821425728	Dendritic cells	HLA-DRB5
DUSP6	7.85568886005249e-06	1.25667970226467	0.917	0.485	0.198316865272025	Dendritic cells	DUSP6
LY86	9.51817596373337e-06	0.719482317045236	0.917	0.315	0.240286352204449	Dendritic cells	LY86
P2RY12	1.11487207290798e-05	0.885432034911679	0.917	0.281	0.28144945480562	Dendritic cells	P2RY12
HLA-DRA	1.31625032358103e-05	1.08546937975097	1	0.546	0.33228739418803	Dendritic cells	HLA-DRA
OSM	1.32081381731284e-05	0.8839422233882	0.583	0.131	0.333439448180626	Dendritic cells	OSM
CCL2	1.32811074575532e-05	1.57718600837542	0.917	0.342	0.33528155776593	Dendritic cells	CCL2
LCP1	1.3569093296329e-05	0.905189237402124	1	0.454	0.342551760265827	Dendritic cells	LCP1
FFAR4	1.35867785192296e-05	0.501875348477337	0.333	0.042	0.342998223717951	Dendritic cells	FFAR4
HLA-DQB1	1.37493175590918e-05	0.865709019281993	0.917	0.362	0.347101521779274	Dendritic cells	HLA-DQB1
EHD4	1.41925063750052e-05	0.931255952029875	0.833	0.285	0.358289823437007	Dendritic cells	EHD4
HLA-DRB1	1.51315476445662e-05	0.937513225206975	1	0.512	0.381995920287074	Dendritic cells	HLA-DRB1
RECQL	1.56944954807914e-05	0.81907241074547	0.5	0.104	0.396207538412579	Dendritic cells	RECQL
CXCL16	1.65137214926695e-05	0.926921071131006	1	0.542	0.416888899082442	Dendritic cells	CXCL16
GBP2	1.69595973153361e-05	0.956481304213721	0.917	0.346	0.42814503422566	Dendritic cells	GBP2
ADAM28	1.70145491687175e-05	0.521133047010684	1	0.331	0.429532293764274	Dendritic cells	ADAM28
PRKCH	1.76695339080023e-05	0.471441099543362	0.75	0.192	0.446067383507518	Dendritic cells	PRKCH
NFKBID	1.83883877533276e-05	1.19642992211282	1	0.385	0.464214848832756	Dendritic cells	NFKBID
