p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
JAML	2.44298028774737e-36	3.07263497314152	0.667	0.006	4.13278975278223e-32	CD4+ Tem	JAML
IZUMO4	4.0495201215814e-32	2.39565457629814	0.333	0.001	6.85057318967925e-28	CD4+ Tem	IZUMO4
SUSD3	4.0495201215814e-32	1.9115905289447	0.333	0.001	6.85057318967925e-28	CD4+ Tem	SUSD3
CD2	6.41959355285561e-32	3.53758915759439	1	0.018	1.08600264133658e-27	CD4+ Tem	CD2
IKZF3	1.79414698758975e-25	2.46193921539524	0.667	0.01	3.03515845890558e-21	CD4+ Tem	IKZF3
CD3D	1.62608532548023e-23	2.86521026674452	0.667	0.011	2.7508485451149e-19	CD4+ Tem	CD3D
ZFP57	6.92302627106067e-22	2.21336299705925	0.333	0.002	1.17116835427533e-17	CD4+ Tem	ZFP57
IKZF1	6.92302627106067e-22	1.9116626561645	0.333	0.002	1.17116835427533e-17	CD4+ Tem	IKZF1
UNC13D	6.92302627106067e-22	1.31719478867045	0.333	0.002	1.17116835427533e-17	CD4+ Tem	UNC13D
AP003352.1	6.92302627106067e-22	1.31038798873177	0.333	0.002	1.17116835427533e-17	CD4+ Tem	AP003352.1
GIMAP4	8.65693813779071e-22	2.49178971684682	0.333	0.002	1.46449422477005e-17	CD4+ Tem	GIMAP4
CXCR6	8.65693813779071e-22	1.86152975498199	0.333	0.002	1.46449422477005e-17	CD4+ Tem	CXCR6
CD8A	8.65693813779071e-22	1.30279155731229	0.333	0.002	1.46449422477005e-17	CD4+ Tem	CD8A
LINC01943	8.65693813779071e-22	1.28839748032479	0.333	0.002	1.46449422477005e-17	CD4+ Tem	LINC01943
SKAP1	8.65693813779071e-22	1.27829819590409	0.333	0.002	1.46449422477005e-17	CD4+ Tem	SKAP1
STING1	8.65693813779071e-22	1.27462282063208	0.333	0.002	1.46449422477005e-17	CD4+ Tem	STING1
GIMAP7	1.08194371990396e-21	1.25428790605437	0.333	0.002	1.83032419096153e-17	CD4+ Tem	GIMAP7
ARHGAP30	5.2283844956348e-20	2.11184351471553	0.667	0.013	8.84485805126539e-16	CD4+ Tem	ARHGAP30
SASH3	9.43649412854125e-17	2.37111937908259	0.333	0.004	1.59637171172532e-12	CD4+ Tem	SASH3
CFAP45	9.43649412854125e-17	2.36631920901709	0.333	0.004	1.59637171172532e-12	CD4+ Tem	CFAP45
ITK	9.43649412854125e-17	1.91009566828838	0.333	0.004	1.59637171172532e-12	CD4+ Tem	ITK
NCF1B	9.43649412854125e-17	1.90615453890771	0.333	0.004	1.59637171172532e-12	CD4+ Tem	NCF1B
CLUHP3	9.43649412854125e-17	1.30930050153462	0.333	0.004	1.59637171172532e-12	CD4+ Tem	CLUHP3
NCF1C	1.1162854034817e-16	1.88262544204305	0.333	0.004	1.88842001707e-12	CD4+ Tem	NCF1C
OAS2	1.1162854034817e-16	1.305815499395	0.333	0.004	1.88842001707e-12	CD4+ Tem	OAS2
PDIK1L	1.1162854034817e-16	1.3049790590466	0.333	0.004	1.88842001707e-12	CD4+ Tem	PDIK1L
RCSD1	1.1162854034817e-16	1.29803451833116	0.333	0.004	1.88842001707e-12	CD4+ Tem	RCSD1
SLFN13	1.1162854034817e-16	1.29728011497395	0.333	0.004	1.88842001707e-12	CD4+ Tem	SLFN13
GVINP1	1.3199855685438e-16	1.7978970938243	0.333	0.004	2.23301958630554e-12	CD4+ Tem	GVINP1
SAMSN1	1.3199855685438e-16	1.28423576317495	0.333	0.004	2.23301958630554e-12	CD4+ Tem	SAMSN1
CD52	2.00836998687678e-15	1.99486888388464	0.667	0.018	3.39755950679945e-11	CD4+ Tem	CD52
FYB1	8.20359464958338e-15	2.01394624997489	0.667	0.019	1.38780210687002e-10	CD4+ Tem	FYB1
RAC2	1.16466053498219e-13	2.46571718700578	0.333	0.005	1.97025622702937e-09	CD4+ Tem	RAC2
ACSL6	1.16466053498219e-13	2.38990308952652	0.333	0.005	1.97025622702937e-09	CD4+ Tem	ACSL6
NAPB	1.16466053498219e-13	1.31691254134984	0.333	0.005	1.97025622702937e-09	CD4+ Tem	NAPB
NCF1	1.33260014103739e-13	1.85438872566312	0.333	0.005	2.25435965859294e-09	CD4+ Tem	NCF1
AL592148.1	1.33260014103739e-13	1.30411077808851	0.333	0.005	2.25435965859294e-09	CD4+ Tem	AL592148.1
ARHGAP9	1.5242777459671e-13	1.83185743553181	0.333	0.005	2.57862066285254e-09	CD4+ Tem	ARHGAP9
LCP2	1.5242777459671e-13	1.27018376401023	0.333	0.005	2.57862066285254e-09	CD4+ Tem	LCP2
GPSM3	1.7429789097063e-13	1.28471926325577	0.333	0.005	2.94859742155015e-09	CD4+ Tem	GPSM3
TMC8	1.7429789097063e-13	1.27374956610295	0.333	0.005	2.94859742155015e-09	CD4+ Tem	TMC8
TRBC2	1.17071410448052e-12	3.7460133923414	0.667	0.024	1.98049705054969e-08	CD4+ Tem	TRBC2
ITGB2	5.77296074854098e-12	2.06027349261201	0.667	0.025	9.76611769830677e-08	CD4+ Tem	ITGB2
TRBC1	6.4967526420987e-12	2.91123399372076	0.667	0.025	1.09905564446384e-07	CD4+ Tem	TRBC1
KDM4C	1.36199299191665e-11	2.37915094158086	0.333	0.006	2.3040835444254e-07	CD4+ Tem	KDM4C
GRAMD1B	1.36199299191665e-11	1.31639793091377	0.333	0.006	2.3040835444254e-07	CD4+ Tem	GRAMD1B
DENND1B	1.36199299191665e-11	1.31510898465559	0.333	0.006	2.3040835444254e-07	CD4+ Tem	DENND1B
AKNA	1.36199299191665e-11	1.30432743325093	0.333	0.006	2.3040835444254e-07	CD4+ Tem	AKNA
ARHGAP25	1.52416223593502e-11	2.32371084723803	0.333	0.006	2.57842525453128e-07	CD4+ Tem	ARHGAP25
EPB41	1.52416223593502e-11	1.27118897921032	0.333	0.006	2.57842525453128e-07	CD4+ Tem	EPB41
CYTIP	1.70519558348753e-11	1.84582266797033	0.333	0.006	2.88467936858586e-07	CD4+ Tem	CYTIP
CCR5	1.70519558348753e-11	1.80462075475108	0.333	0.006	2.88467936858586e-07	CD4+ Tem	CCR5
BCL11B	1.70519558348753e-11	1.74993960436366	0.333	0.006	2.88467936858586e-07	CD4+ Tem	BCL11B
CCL5	2.10042983879947e-11	2.85428999785648	0.667	0.026	3.55329715829706e-07	CD4+ Tem	CCL5
SELPLG	2.13265338940274e-11	1.25340187419251	0.333	0.006	3.60780973885261e-07	CD4+ Tem	SELPLG
EVL	3.78278855878241e-10	2.09051144062699	0.667	0.031	6.39934340489221e-06	CD4+ Tem	EVL
AL049597.1	4.13329784939151e-10	1.91009217603942	0.333	0.007	6.99229997181562e-06	CD4+ Tem	AL049597.1
