p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MS4A1	0	2.16246623412775	0.845	0.041	0	Activated B cells	MS4A1
CD79A	3.81327013520703e-257	2.19144931910149	0.922	0.1	5.61961619825461e-253	Activated B cells	CD79A
HLA-DQA1	1.3629329319547e-186	1.91270544411222	0.902	0.163	2.00855426182164e-182	Activated B cells	HLA-DQA1
CD79B	4.99092169243744e-161	1.70879747967396	0.706	0.097	7.35512129814505e-157	Activated B cells	CD79B
HLA-DQB1	6.0829487589098e-159	1.76940527729547	0.845	0.168	8.96444158600537e-155	Activated B cells	HLA-DQB1
BANK1	4.53136562710718e-152	1.34950082560804	0.514	0.041	6.67787352466786e-148	Activated B cells	BANK1
VPREB3	2.79312611776013e-147	1.31117849981681	0.38	0.016	4.1162299597431e-143	Activated B cells	VPREB3
HLA-DPB1	2.25671113179301e-134	1.78439166612998	0.98	0.435	3.32571519492335e-130	Activated B cells	HLA-DPB1
HLA-DPA1	1.4259840615119e-133	1.72213365298221	0.98	0.401	2.10147271145008e-129	Activated B cells	HLA-DPA1
HLA-DRA	4.75998932665364e-129	1.73732381579355	0.996	0.678	7.01479627068946e-125	Activated B cells	HLA-DRA
LTB	3.00099824137782e-120	1.76455696313228	0.694	0.137	4.42257110831849e-116	Activated B cells	LTB
CD74	3.83728793600622e-120	1.68159844732982	0.996	0.814	5.65501123129236e-116	Activated B cells	CD74
RPS27	1.2062784011641e-112	0.77741706966711	1	0.995	1.77769247979554e-108	Activated B cells	RPS27
HLA-DRB1	4.37477220584302e-109	1.46804268053583	0.98	0.604	6.44710179975087e-105	Activated B cells	HLA-DRB1
LINC00926	7.66729724706999e-108	1.14465014444302	0.347	0.024	1.1299295953007e-103	Activated B cells	LINC00926
RP5-887A10.1	1.46789417150655e-105	1.46335958744018	0.38	0.033	2.1632356405492e-101	Activated B cells	RP5-887A10.1
RPL13A	2.14443007196946e-103	0.738042608540873	1	0.993	3.1602465970614e-99	Activated B cells	RPL13A
PTPRCAP	2.65756842946403e-103	1.23611188243441	0.837	0.23	3.91645859450114e-99	Activated B cells	PTPRCAP
RPL23A	4.0375505286881e-98	0.777305347050269	1	0.979	5.95013821412765e-94	Activated B cells	RPL23A
CD37	2.27395768306527e-97	1.27511978955185	0.951	0.596	3.35113143753329e-93	Activated B cells	CD37
CD52	4.94018049717447e-96	1.22104900666082	0.988	0.718	7.28034399868602e-92	Activated B cells	CD52
CD22	2.87198386354172e-95	0.979976950522869	0.302	0.02	4.23244261970144e-91	Activated B cells	CD22
CD19	8.50795850136196e-94	1.03614042471014	0.322	0.025	1.25381784434571e-89	Activated B cells	CD19
BLK	1.28140181361535e-80	0.911302258929378	0.331	0.034	1.88840185272494e-76	Activated B cells	BLK
RPL13	8.1759085268259e-79	0.585522202613033	1	0.991	1.20488363959833e-74	Activated B cells	RPL13
MALAT1	1.41625977425862e-76	0.690103546174496	1	0.998	2.08714202932493e-72	Activated B cells	MALAT1
RPL41	6.47995968329737e-76	0.456614378952216	1	0.997	9.54951658527534e-72	Activated B cells	RPL41
RPS29	1.52246294009311e-75	0.641719868075995	1	0.993	2.24365363481522e-71	Activated B cells	RPS29
RPL21	1.31978376636477e-74	0.543136633355243	1	0.996	1.94496533649175e-70	Activated B cells	RPL21
ADAM28	2.4382850921707e-72	0.893133134799757	0.298	0.031	3.59330074033196e-68	Activated B cells	ADAM28
RPLP2	3.24415414389122e-72	0.532839580316795	1	0.988	4.78090996185249e-68	Activated B cells	RPLP2
RPL18A	1.06319559846399e-70	0.599143692352017	0.996	0.989	1.56683135345638e-66	Activated B cells	RPL18A
RPS25	4.39963615426325e-70	0.659932433919343	1	0.967	6.48374380053775e-66	Activated B cells	RPS25
RPS6	4.14187448445541e-69	0.589126551412928	1	0.982	6.10388042774194e-65	Activated B cells	RPS6
RPL27A	4.43094957427598e-68	0.552633215817045	1	0.985	6.52989038761051e-64	Activated B cells	RPL27A
RPS19	9.35000557324965e-68	0.574156914525447	1	0.989	1.3779103213298e-63	Activated B cells	RPS19
RPS18	3.16181781162126e-67	0.563709790982423	1	0.989	4.65957090898625e-63	Activated B cells	RPS18
FCRLA	3.39160219961946e-65	0.792141812885074	0.253	0.024	4.99820416157919e-61	Activated B cells	FCRLA
RPS27A	3.91089593219738e-65	0.522271583168757	1	0.989	5.76348733527927e-61	Activated B cells	RPS27A
LBH	5.38738988966965e-64	0.817998009900811	0.294	0.034	7.93939648040616e-60	Activated B cells	LBH
RPS5	7.62986017302292e-63	0.760790206211397	1	0.903	1.12441249369839e-58	Activated B cells	RPS5
RPL12	9.99047067581524e-62	0.561677161235226	1	0.983	1.47229566349489e-57	Activated B cells	RPL12
RPS12	3.15580041835531e-60	0.565086002652825	1	0.991	4.65070307653022e-56	Activated B cells	RPS12
RPL11	2.06721497846069e-57	0.495476797158052	1	0.986	3.04645471375752e-53	Activated B cells	RPL11
RPL10	2.44774769425462e-56	0.462061294154156	1	0.989	3.60724577702304e-52	Activated B cells	RPL10
RPL3	4.41779359910129e-56	0.581722915491576	0.996	0.947	6.51050242699558e-52	Activated B cells	RPL3
RPS23	5.10320240960572e-55	0.51473384144574	1	0.979	7.52058939103595e-51	Activated B cells	RPS23
RPL32	5.7435275108899e-55	0.452552976251642	1	0.991	8.46423649279844e-51	Activated B cells	RPL32
RPL34	9.26328232260806e-55	0.422787083234081	1	0.991	1.36512991588275e-50	Activated B cells	RPL34
RPS20	2.44489005733804e-54	0.565948987983025	0.98	0.956	3.60303447749907e-50	Activated B cells	RPS20
FAIM3	3.39018968591457e-54	0.872659823289223	0.278	0.038	4.9961225401323e-50	Activated B cells	FAIM3
RPL39	2.13962704504422e-53	0.406433240828727	1	0.988	3.15316837628167e-49	Activated B cells	RPL39
RPL30	7.4523908502401e-52	0.550342203695688	0.996	0.975	1.09825883959988e-47	Activated B cells	RPL30
RPS8	3.27188388239044e-51	0.524545020460956	0.996	0.982	4.8217752774788e-47	Activated B cells	RPS8
RPL10A	3.32913348915075e-51	0.598809586325365	0.984	0.923	4.90614402296146e-47	Activated B cells	RPL10A
RPL36	6.86903838301072e-50	0.498856386348953	0.996	0.98	1.01229018650429e-45	Activated B cells	RPL36
ISG20	4.72853014722018e-49	0.796370672912243	0.567	0.176	6.96843487795838e-45	Activated B cells	ISG20
RPS4X	1.99921861288093e-47	0.491384393469645	0.996	0.975	2.94624846980262e-43	Activated B cells	RPS4X
RPSA	3.37090443563621e-47	0.721574927147378	0.943	0.816	4.96770186679708e-43	Activated B cells	RPSA
