p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MS4A1	3.2004950826021e-129	2.37239035515269	0.92	0.03	6.08414115202659e-125	Activated B cells	MS4A1
BANK1	1.14141996996391e-81	1.88607842941404	0.64	0.024	2.1698393629014e-77	Activated B cells	BANK1
TNFRSF13B	1.02067992461872e-75	1.42627505980294	0.44	0.011	1.94031253670019e-71	Activated B cells	TNFRSF13B
LINC01781	7.7597835421724e-73	1.7987713175953	0.44	0.012	1.47513485136697e-68	Activated B cells	LINC01781
ARHGAP24	3.25285046454025e-37	1.40423264830896	0.4	0.021	6.18366873309101e-33	Activated B cells	ARHGAP24
VPREB3	3.93136373039939e-30	1.12507915039701	0.32	0.016	7.47352245148925e-26	Activated B cells	VPREB3
MEF2C	2.98517863032851e-27	1.37593653999292	0.48	0.042	5.6748245762545e-23	Activated B cells	MEF2C
CD79A	6.70114429999549e-25	1.58637258593855	0.68	0.09	1.27388753142914e-20	Activated B cells	CD79A
NCR3	9.21899627485397e-24	1.13195611716731	0.4	0.033	1.75253119184974e-19	Activated B cells	NCR3
CLECL1	1.89577907257938e-23	1.14861859168443	0.44	0.04	3.6038760169734e-19	Activated B cells	CLECL1
HLA-DQA1	9.67360087794884e-23	1.60903287326834	0.84	0.167	1.83895152689807e-18	Activated B cells	HLA-DQA1
FAM30A	1.00089285109187e-21	1.2584487843559	0.32	0.023	1.90269730992564e-17	Activated B cells	FAM30A
LY86	1.04731837382665e-20	1.27846227137472	0.48	0.055	1.99095222864445e-16	Activated B cells	LY86
POU2F2	1.32490061330802e-20	1.20445820685256	0.44	0.046	2.51863606589854e-16	Activated B cells	POU2F2
HLA-DQB1	3.05469637420504e-19	1.47916837365436	0.8	0.178	5.80697780736379e-15	Activated B cells	HLA-DQB1
SCIMP	6.66811648652828e-19	1.21240831296943	0.36	0.034	1.26760894408903e-14	Activated B cells	SCIMP
HVCN1	1.28080725315547e-18	0.841352557674041	0.32	0.027	2.43481458824855e-14	Activated B cells	HVCN1
SMIM14	1.34725012418353e-18	1.68652108620942	0.52	0.076	2.56112248607289e-14	Activated B cells	SMIM14
AIM2	2.41869108329698e-18	0.995016818350333	0.44	0.05	4.59793174934756e-14	Activated B cells	AIM2
CD79B	2.84318772078038e-17	1.274046601407	0.52	0.074	5.4048998572035e-13	Activated B cells	CD79B
HLA-DOA	3.37422948346823e-17	0.87976739869589	0.28	0.023	6.4144102480731e-13	Activated B cells	HLA-DOA
CD74	1.41994697607364e-15	1.55837871295939	1	0.767	2.69931920151599e-11	Activated B cells	CD74
FCHSD2	3.70178231675915e-15	0.970210675044211	0.28	0.026	7.03708818415914e-11	Activated B cells	FCHSD2
PLAC8	9.80669913248827e-15	1.04937933278252	0.44	0.061	1.86425350508602e-10	Activated B cells	PLAC8
HLA-DPA1	1.0110917664008e-14	1.38937253066314	1	0.55	1.92208544792792e-10	Activated B cells	HLA-DPA1
RIPOR2	1.17871900541439e-14	1.06203863082213	0.6	0.108	2.24074482929276e-10	Activated B cells	RIPOR2
TMEM154	3.50862933348347e-14	1.03455807046205	0.36	0.044	6.66990436295208e-10	Activated B cells	TMEM154
HLA-DPB1	6.35055775486166e-14	1.45512798717796	0.96	0.534	1.2072410291992e-09	Activated B cells	HLA-DPB1
HLA-DRA	8.43569104949574e-14	1.21819165283696	1	0.575	1.60362486850914e-09	Activated B cells	HLA-DRA
ATP2B1	2.17630890515046e-12	1.22922714631216	0.44	0.078	4.13716322869103e-08	Activated B cells	ATP2B1
HLA-DRB1	5.29628623601729e-11	1.15059174847124	0.92	0.591	1.00682401346689e-06	Activated B cells	HLA-DRB1
ADAM28	1.50686731975424e-10	0.98969364933966	0.32	0.048	2.86455477485281e-06	Activated B cells	ADAM28
TCF4	6.54894967925573e-10	0.768274480960382	0.28	0.039	1.24495533402651e-05	Activated B cells	TCF4
MRPL44	1.35261267465594e-09	1.10302906978378	0.48	0.116	2.57131669452095e-05	Activated B cells	MRPL44
CTSH	3.10754410269201e-09	1.19995411253011	0.56	0.162	5.90744133921751e-05	Activated B cells	CTSH
IRF8	7.58871268448211e-09	0.906573331535442	0.28	0.044	0.000144261428132005	Activated B cells	IRF8
PIK3AP1	5.82262645355051e-08	0.687317999356731	0.28	0.048	0.00110688128881995	Activated B cells	PIK3AP1
RPS25	9.43839870178938e-08	0.732482488401161	0.96	0.915	0.00179423959321016	Activated B cells	RPS25
TSPAN3	2.13909442786428e-07	0.775374081584844	0.28	0.053	0.00406641850737	Activated B cells	TSPAN3
RPL41	5.49320219923999e-07	0.389861420620634	1	0.994	0.0104425773807552	Activated B cells	RPL41
SELL	7.55817825584313e-07	0.940327636366887	0.48	0.137	0.0143680968643578	Activated B cells	SELL
CD37	1.16809400048358e-06	0.842710693988455	0.8	0.386	0.0222054669491928	Activated B cells	CD37
BCAS4	1.4055738734426e-06	0.820876171804905	0.32	0.072	0.0267199593341438	Activated B cells	BCAS4
RPL12	1.43341587436265e-06	0.512475390309963	1	0.937	0.0272492357716339	Activated B cells	RPL12
RPS14	1.755490127774e-06	0.460781330757688	1	0.979	0.0333718673289838	Activated B cells	RPS14
RPL13A	1.96230968279844e-06	0.450553061540042	1	0.988	0.0373035070699983	Activated B cells	RPL13A
CD52	1.9692676621716e-06	0.68204217288546	0.96	0.628	0.037435778257882	Activated B cells	CD52
RPS23	2.14342650615781e-06	0.503213445442698	1	0.916	0.0407465378820599	Activated B cells	RPS23
HLA-DMB	2.16061896720966e-06	1.09306524588699	0.44	0.136	0.0410733665666557	Activated B cells	HLA-DMB
PDLIM1	2.88502065486403e-06	0.790821373575906	0.32	0.079	0.0548442426489653	Activated B cells	PDLIM1
IFT57	3.10917486013444e-06	0.9476837040975	0.28	0.061	0.0591054140911557	Activated B cells	IFT57
RPLP2	3.70971980241801e-06	0.540600721521751	1	0.972	0.0705217734439664	Activated B cells	RPLP2
PLEKHF2	3.88528403253281e-06	0.677989553607548	0.28	0.06	0.0738592494584487	Activated B cells	PLEKHF2
MT-ND1	4.1839558302187e-06	0.535237004306772	1	0.666	0.0795370003324575	Activated B cells	MT-ND1
CD53	7.178199180162e-06	0.656453998788932	0.8	0.425	0.13645756641488	Activated B cells	CD53
SP110	7.20323035731212e-06	0.787717160807318	0.76	0.356	0.136933409092503	Activated B cells	SP110
