p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SLA2	4.49588552004324e-14	1.8667439216394	0.75	0.01	4.22163650332061e-10	CD4+ Tem	SLA2
ICOS	1.55690205695372e-08	1.37885944187941	0.5	0.01	0.000146193103147954	CD4+ Tem	ICOS
SLAMF1	1.55690205695372e-08	1.32630129505531	0.5	0.01	0.000146193103147954	CD4+ Tem	SLAMF1
SH2D2A	3.095363765609e-08	1.57561442681677	0.75	0.04	0.000290654657590685	CD4+ Tem	SH2D2A
ZNF75A	6.63908509999476e-07	1.47941282998299	0.5	0.02	0.00623410090889508	CD4+ Tem	ZNF75A
TRBC2	6.84608438942402e-07	1.93648948476929	1	0.119	0.00642847324166916	CD4+ Tem	TRBC2
CD27	1.11210663562835e-06	1.51203046030875	0.5	0.02	0.0104426813085502	CD4+ Tem	CD27
CD6	1.8446337850935e-06	1.19875021919701	0.5	0.02	0.017321111242028	CD4+ Tem	CD6
MYCBP2	9.73706180969237e-06	1.37367094075698	0.5	0.03	0.0914310103930113	CD4+ Tem	MYCBP2
CD3D	1.1944932195221e-05	2.40121342675208	0.75	0.089	0.112162913313126	CD4+ Tem	CD3D
SH2D1A	2.22052753085438e-05	1.33138164923754	0.5	0.03	0.208507535147226	CD4+ Tem	SH2D1A
GZMB	3.43446298272357e-05	1.3762622820932	1	0.139	0.322496074077744	CD4+ Tem	GZMB
CD2	5.22623597352912e-05	0.297661253825411	0.75	0.089	0.490743557914384	CD4+ Tem	CD2
STAM	5.93039270973459e-05	1.43842733279927	0.5	0.04	0.556863875444078	CD4+ Tem	STAM
LCK	6.75742828359326e-05	1.29798149379696	0.75	0.089	0.634522515829407	CD4+ Tem	LCK
PTPN7	8.41231833660047e-05	1.54274892448512	0.5	0.04	0.789916691806784	CD4+ Tem	PTPN7
CSK	8.41231833660047e-05	1.10167695679529	0.5	0.04	0.789916691806784	CD4+ Tem	CSK
RICTOR	8.41231833660047e-05	1.09089228757527	0.5	0.04	0.789916691806784	CD4+ Tem	RICTOR
GABPB1	0.000218085832186372	1.14029062772477	0.5	0.05	1	CD4+ Tem	GABPB1
MON1B	0.000294986796097995	1.63555933503964	0.5	0.05	1	CD4+ Tem	MON1B
IL10RA	0.000294986796097995	1.29985461864794	0.5	0.05	1	CD4+ Tem	IL10RA
DDX19A	0.000294986796097995	1.10958586216949	0.5	0.05	1	CD4+ Tem	DDX19A
ANKRD28	0.000294986796097995	0.661210787958358	0.5	0.05	1	CD4+ Tem	ANKRD28
ABRACL	0.000315968592424474	1.43214918716911	0.75	0.139	1	CD4+ Tem	ABRACL
CORO1A	0.000436749279853309	0.669080700523445	1	0.238	1	CD4+ Tem	CORO1A
PLEKHF1	0.000459144923205873	1.17684252640575	0.5	0.05	1	CD4+ Tem	PLEKHF1
PRF1	0.000476954806067052	1.29600933851807	0.75	0.129	1	CD4+ Tem	PRF1
RCSD1	0.000530603779148308	1.06982703930252	0.5	0.05	1	CD4+ Tem	RCSD1
MAPKAPK3	0.000762549705679003	1.0860073652122	0.5	0.059	1	CD4+ Tem	MAPKAPK3
ANP32A	0.00083265562786748	1.0806068684954	0.75	0.158	1	CD4+ Tem	ANP32A
FAM153CP	0.000869543358735558	1.20413901858557	0.5	0.059	1	CD4+ Tem	FAM153CP
IL32	0.000988617231669304	2.01958375789515	1	0.515	1	CD4+ Tem	IL32
BTG2	0.00108735722370121	1.15104580366454	0.75	0.158	1	CD4+ Tem	BTG2
GIMAP5	0.00112646617450031	1.43280501371612	0.5	0.059	1	CD4+ Tem	GIMAP5
UBE2L3	0.0011893645952304	1.314628976322	1	0.485	1	CD4+ Tem	UBE2L3
RSRC1	0.00126603640157729	1.35372988268756	0.5	0.069	1	CD4+ Tem	RSRC1
ARHGEF1	0.00126603640157729	1.13724351442373	0.5	0.069	1	CD4+ Tem	ARHGEF1
PSMB10	0.00127397571514686	1.15113140597405	1	0.426	1	CD4+ Tem	PSMB10
SIT1	0.00127974396764601	1.03263862792741	0.5	0.059	1	CD4+ Tem	SIT1
TRAC	0.00145135408321475	0.439784177290874	0.75	0.139	1	CD4+ Tem	TRAC
PANK4	0.00160709481051492	1.30930784907016	0.5	0.069	1	CD4+ Tem	PANK4
RAMAC	0.00197306415588926	1.30758472000691	0.75	0.188	1	CD4+ Tem	RAMAC
GHITM	0.00210473235236335	1.10792935790236	1	0.505	1	CD4+ Tem	GHITM
YWHAQ	0.00232690515321657	0.491216478920578	1	0.485	1	CD4+ Tem	YWHAQ
FADD	0.00236330092250745	1.08201664774003	0.5	0.079	1	CD4+ Tem	FADD
GZMA	0.00252037689521513	1.08014714803866	0.75	0.149	1	CD4+ Tem	GZMA
CTSC	0.00259592590460836	1.31487784341782	1	0.455	1	CD4+ Tem	CTSC
CD37	0.00283180209958815	1.72869034298085	0.75	0.238	1	CD4+ Tem	CD37
ATP6V0E2	0.00286154497096279	1.09251014133322	0.5	0.069	1	CD4+ Tem	ATP6V0E2
APEH	0.00293390535019434	1.46167673958133	0.5	0.079	1	CD4+ Tem	APEH
MVD	0.00293390535019434	1.26946954267333	0.5	0.079	1	CD4+ Tem	MVD
PPP1CA	0.00309982992152056	1.30373644327339	1	0.455	1	CD4+ Tem	PPP1CA
SRGN	0.0031482721643696	1.35489135252704	1	0.634	1	CD4+ Tem	SRGN
ISG20	0.00339459961242434	1.28485883395399	0.75	0.188	1	CD4+ Tem	ISG20
COPS9	0.00341972206074382	1.32748944579348	0.75	0.228	1	CD4+ Tem	COPS9
DDX24	0.00393824185241887	0.740087455503032	0.75	0.228	1	CD4+ Tem	DDX24
RASSF5	0.00402782199533173	0.971522733432264	0.5	0.079	1	CD4+ Tem	RASSF5
HLA-B	0.00403989162859471	0.928039260946602	1	0.851	1	CD4+ Tem	HLA-B
ATP5MG	0.00418953709615699	1.09234361775056	1	0.584	1	CD4+ Tem	ATP5MG
RBM8A	0.00434143241180828	1.13451166111543	1	0.515	1	CD4+ Tem	RBM8A
S100A4	0.00446196973259412	3.60779255493281	1	0.564	1	CD4+ Tem	S100A4
XRCC5	0.00461293280271739	1.49078489807775	0.75	0.238	1	CD4+ Tem	XRCC5
BRIX1	0.00467648015952085	1.27947076919288	0.75	0.248	1	CD4+ Tem	BRIX1
RGS1	0.00505403307560992	0.747870112454833	0.75	0.178	1	CD4+ Tem	RGS1
EBLN3P	0.00531734480405586	1.19494596975757	0.5	0.089	1	CD4+ Tem	EBLN3P
CTSW	0.00563792028945916	0.558382015921373	0.75	0.158	1	CD4+ Tem	CTSW
PCNP	0.00574694209369715	1.19182076612978	0.75	0.257	1	CD4+ Tem	PCNP
SARAF	0.00578719846637226	1.73567650828446	1	0.644	1	CD4+ Tem	SARAF
MED30	0.00585739813309261	1.09446202747967	0.5	0.089	1	CD4+ Tem	MED30
ISOC1	0.00585739813309261	1.01077489621964	0.5	0.089	1	CD4+ Tem	ISOC1
ABT1	0.00612990899228541	1.71856361628752	0.75	0.277	1	CD4+ Tem	ABT1
LAT	0.00644640944143172	1.50677004974031	0.5	0.089	1	CD4+ Tem	LAT
DNAJB11	0.00648935481271395	1.48644307886009	0.75	0.287	1	CD4+ Tem	DNAJB11
SRP14	0.00655636778494999	0.864091216908741	1	0.703	1	CD4+ Tem	SRP14
IL7R	0.00668787991124169	1.01575579279782	0.5	0.099	1	CD4+ Tem	IL7R
FYN	0.0066952647778255	0.790619243691095	0.5	0.079	1	CD4+ Tem	FYN
CCDC12	0.00695014432649274	1.38581796202018	0.75	0.277	1	CD4+ Tem	CCDC12
STK17A	0.00715071193858742	0.921775078544943	0.75	0.218	1	CD4+ Tem	STK17A
HLA-A	0.00755984814945332	0.762599260852994	1	0.901	1	CD4+ Tem	HLA-A
TUBA4A	0.00791545936240671	1.24694764225527	0.75	0.257	1	CD4+ Tem	TUBA4A
PMPCA	0.00876480953119589	1.22918958470295	0.5	0.099	1	CD4+ Tem	PMPCA
PAK2	0.00876480953119589	1.01819210589715	0.5	0.099	1	CD4+ Tem	PAK2
WAS	0.00883084579297064	1.31097656142065	0.5	0.109	1	CD4+ Tem	WAS
RUNX3	1.68268448911876e-11	1.77194740660488	0.667	0.01	1.58004073528252e-07	CD8+ effector T cells	RUNX3
RMC1	5.59180172957837e-09	2.08294980038838	0.667	0.02	5.25070182407409e-05	CD8+ effector T cells	RMC1
RPA4	7.75100059372433e-09	0.970632334945838	0.333	0	7.27818955750715e-05	CD8+ effector T cells	RPA4
CD3G	1.56261254418082e-08	1.4369083286701	0.667	0.02	0.000146729317898579	CD8+ effector T cells	CD3G
CD5	2.18661893241382e-08	1.42269615866107	0.667	0.02	0.000205323517753658	CD8+ effector T cells	CD5
ITM2A	3.90647395296833e-08	2.20294427955327	1	0.069	0.000366817904183726	CD8+ effector T cells	ITM2A
GZMH	6.30626399337837e-08	2.75291637933689	1	0.078	0.000592158188978229	CD8+ effector T cells	GZMH
KLRK1	4.28135156962005e-07	1.89741795720092	0.667	0.029	0.00402018912387322	CD8+ effector T cells	KLRK1
CD69	4.87633813498959e-07	2.09600636517707	1	0.088	0.00457888150875523	CD8+ effector T cells	CD69
CD96	1.96075041581767e-06	2.13438628883316	0.667	0.039	0.0184114464045279	CD8+ effector T cells	CD96
ERAP2	1.96075041581767e-06	1.65226438618025	0.667	0.039	0.0184114464045279	CD8+ effector T cells	ERAP2
FAM53C	3.13453560688479e-06	1.5568749782602	0.667	0.039	0.0294332893486482	CD8+ effector T cells	FAM53C
CST7	4.78278190842129e-06	2.1610702900778	1	0.108	0.0449103221200759	CD8+ effector T cells	CST7
CXCR3	4.96704798762722e-06	1.62771981963867	0.667	0.039	0.0466405806038196	CD8+ effector T cells	CXCR3
TRBC21	6.60249345084983e-06	2.11767254061279	1	0.127	0.0619974135034799	CD8+ effector T cells	TRBC2
PLEKHF11	1.5976487195338e-05	1.93491436735571	0.667	0.049	0.150019214764223	CD8+ effector T cells	PLEKHF1
CRYBG1	1.5976487195338e-05	1.38920947945181	0.667	0.049	0.150019214764223	CD8+ effector T cells	CRYBG1
GZMK	2.38081258831954e-05	2.86549835657758	0.667	0.049	0.223558302043205	CD8+ effector T cells	GZMK
APBA2	2.38081258831954e-05	1.33206337443475	0.667	0.049	0.223558302043205	CD8+ effector T cells	APBA2
SKAP1	3.52110686838743e-05	1.21554169390261	0.667	0.049	0.330631934941579	CD8+ effector T cells	SKAP1
WAPL	5.46204485139698e-05	1.5531368251042	0.667	0.059	0.512886011546176	CD8+ effector T cells	WAPL
ALKBH1	5.79438822787321e-05	1.8679704135795	0.333	0.01	0.544093054597294	CD8+ effector T cells	ALKBH1
KMT2B	5.79438822787321e-05	1.86110027502207	0.333	0.01	0.544093054597294	CD8+ effector T cells	KMT2B
MED26	5.79438822787321e-05	0.966903897746679	0.333	0.01	0.544093054597294	CD8+ effector T cells	MED26
SLC43A2	5.79438822787321e-05	0.965691584139753	0.333	0.01	0.544093054597294	CD8+ effector T cells	SLC43A2
GIMAP51	6.52124903530431e-05	1.61374000764879	0.667	0.059	0.612345284415074	CD8+ effector T cells	GIMAP5
CCL5	8.15686490924359e-05	1.80723686518051	1	0.147	0.765929614977973	CD8+ effector T cells	CCL5
TRAC1	9.0896966254524e-05	1.02209496774795	1	0.137	0.85352251312998	CD8+ effector T cells	TRAC
SIRPG	9.24934917690889e-05	1.8125781808996	0.667	0.059	0.868513887711745	CD8+ effector T cells	SIRPG
GZMA1	0.000117219950195615	1.82036464163123	1	0.147	1	CD8+ effector T cells	GZMA
COMMD8	0.000121729307154276	1.4037872381173	0.667	0.069	1	CD8+ effector T cells	COMMD8
CTSW1	0.000206636853608318	1.20366745185116	1	0.157	1	CD8+ effector T cells	CTSW
KLRD1	0.000215242370322004	1.1040259412205	0.667	0.059	1	CD8+ effector T cells	KLRD1
CXCR6	0.000358433944664422	2.10540780778777	0.667	0.078	1	CD8+ effector T cells	CXCR6
PSTPIP1	0.000358433944664422	1.5072451006862	0.667	0.078	1	CD8+ effector T cells	PSTPIP1
RNF5	0.000433199895787293	1.52747906974082	1	0.275	1	CD8+ effector T cells	RNF5
TBL3	0.000447942600596341	1.4188401011738	0.667	0.088	1	CD8+ effector T cells	TBL3
CXCR4	0.000734371302790142	2.13408979104225	1	0.294	1	CD8+ effector T cells	CXCR4
DMAC1	0.00077976328969469	1.68706697910234	0.667	0.098	1	CD8+ effector T cells	DMAC1
PMS2	0.00077976328969469	1.55468915180238	0.667	0.098	1	CD8+ effector T cells	PMS2
NMI	0.00077976328969469	1.5409217304972	0.667	0.098	1	CD8+ effector T cells	NMI
ACAP1	0.000871069297259579	1.62597675941007	0.667	0.088	1	CD8+ effector T cells	ACAP1
HOPX	0.00112679210799536	1.29651088756501	0.667	0.088	1	CD8+ effector T cells	HOPX
PWWP2A	0.00122794048741251	1.62529126672366	0.333	0.02	1	CD8+ effector T cells	PWWP2A
STAG3	0.00122794048741251	1.31295815350252	0.333	0.02	1	CD8+ effector T cells	STAG3
SRGAP3	0.00122794048741251	1.30289750834697	0.333	0.02	1	CD8+ effector T cells	SRGAP3
BTN2A2	0.00122794048741251	1.30243658067745	0.333	0.02	1	CD8+ effector T cells	BTN2A2
TAF3	0.00122794048741251	1.30011224810855	0.333	0.02	1	CD8+ effector T cells	TAF3
GIMAP2	0.00122794048741251	1.29535252682823	0.333	0.02	1	CD8+ effector T cells	GIMAP2
VPS13A	0.00122794048741251	1.29530217163512	0.333	0.02	1	CD8+ effector T cells	VPS13A
