p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MMP12	0	3.39341459681655	0.5	0.001	0	Dendritic cells	MMP12
C1QB	0	3.04961411909945	0.7	0.002	0	Dendritic cells	C1QB
HLA-DQA1	0	2.98291734715975	0.7	0.003	0	Dendritic cells	HLA-DQA1
FCER1G	0	2.93859415304155	0.8	0.004	0	Dendritic cells	FCER1G
TYROBP	0	2.9233296579866	0.9	0.005	0	Dendritic cells	TYROBP
C1QA	0	2.87902040297916	0.7	0.002	0	Dendritic cells	C1QA
AIF1	0	2.47387068042286	0.7	0.003	0	Dendritic cells	AIF1
C1QC	0	2.41624935309725	0.65	0.001	0	Dendritic cells	C1QC
RNASE1	0	2.20489528636555	0.5	0.001	0	Dendritic cells	RNASE1
LST1	0	1.55220612797536	0.5	0.001	0	Dendritic cells	LST1
GM2A	0	1.15048275601992	0.5	0.001	0	Dendritic cells	GM2A
LYZ	3.55185502393146e-306	2.37087654187298	0.6	0.003	6.66931817843611e-302	Dendritic cells	LYZ
BCL2A1	1.733930379797e-300	1.98718297860174	0.55	0.002	3.25580107414483e-296	Dendritic cells	BCL2A1
CYBB	3.78004948669138e-292	0.976485467729097	0.35	0.001	7.09779892116041e-288	Dendritic cells	CYBB
HLA-DRB1	2.14044685232662e-289	3.51728167576116	0.9	0.009	4.01911705461369e-285	Dendritic cells	HLA-DRB1
GPR183	4.98726072301358e-279	2.4963590400425	0.65	0.004	9.36457945960261e-275	Dendritic cells	GPR183
MS4A6A	2.17557003820844e-272	1.19208619743582	0.4	0.001	4.085067860744e-268	Dendritic cells	MS4A6A
CD274	7.41200060030931e-269	0.912742835040766	0.3	0	1.39175135272008e-264	Dendritic cells	CD274
CXCL9	9.28454480022778e-269	1.54005760269653	0.3	0	1.74335897713877e-264	Dendritic cells	CXCL9
ITGB2	3.83866629216932e-268	1.47714421966338	0.45	0.002	7.20786369680634e-264	Dendritic cells	ITGB2
PLEK	1.7281896742764e-265	1.30534207615405	0.35	0.001	3.2450217513888e-261	Dendritic cells	PLEK
HLA-DPA1	4.35730529844561e-255	3.38071485955508	0.8	0.008	8.18171215889133e-251	Dendritic cells	HLA-DPA1
HLA-DPB1	5.5970829230627e-254	3.50727246484311	0.75	0.007	1.05096426046348e-249	Dendritic cells	HLA-DPB1
HLA-DRA	2.55763903440643e-250	4.43238468780905	0.95	0.012	4.80247881490495e-246	Dendritic cells	HLA-DRA
SRGN	2.08957459403295e-249	3.12790453972844	0.95	0.012	3.92359421521567e-245	Dendritic cells	SRGN
C15orf48	8.25963194081316e-246	3.2434973152302	0.65	0.005	1.55091108952649e-241	Dendritic cells	C15orf48
LAPTM5	9.61406171146172e-245	1.97322618861466	0.6	0.004	1.80523236756117e-240	Dendritic cells	LAPTM5
HLA-DQB1	3.75315072445083e-243	2.66616741697743	0.7	0.006	7.04729111530133e-239	Dendritic cells	HLA-DQB1
CTSS	1.57299725910652e-231	1.93008005557946	0.6	0.005	2.95361695342432e-227	Dendritic cells	CTSS
KYNU	5.83846258231279e-225	1.47880336292731	0.35	0.001	1.09628811908087e-220	Dendritic cells	KYNU
CD53	4.00624776448788e-224	1.36990566827082	0.4	0.002	7.52253142737889e-220	Dendritic cells	CD53
CAPG	1.29583988935165e-218	2.12439227240126	0.55	0.004	2.43319856023559e-214	Dendritic cells	CAPG
LILRB4	4.56578166155408e-215	1.2966762449194	0.3	0.001	8.5731682259001e-211	Dendritic cells	LILRB4
HLA-DMA	6.55245577510195e-215	1.83953788498745	0.6	0.005	1.23035462089089e-210	Dendritic cells	HLA-DMA
CD68	1.86530321258025e-213	2.08362062532707	0.7	0.008	3.50247984226194e-209	Dendritic cells	CD68
SPP1	4.72852626963435e-210	3.70699022074429	0.45	0.003	8.87875377649243e-206	Dendritic cells	SPP1
SAMSN1	4.22773031515445e-209	1.31038885933547	0.45	0.003	7.93840921276551e-205	Dendritic cells	SAMSN1
CCR7	1.01177552153697e-208	2.06443017892841	0.35	0.001	1.89981089678996e-204	Dendritic cells	CCR7
STX11	1.77122093327851e-200	1.23336767002255	0.4	0.002	3.32582154641706e-196	Dendritic cells	STX11
CLEC4E	4.70234883332407e-195	1.07296058628419	0.3	0.001	8.82960040433261e-191	Dendritic cells	CLEC4E
MS4A7	6.86256234671152e-195	1.44351281158663	0.35	0.001	1.28858333184202e-190	Dendritic cells	MS4A7
ACP5	1.25561080503184e-190	1.73890197470164	0.4	0.002	2.35766040860829e-186	Dendritic cells	ACP5
APOE	1.46990764246119e-180	3.68229202153686	0.65	0.008	2.76004558024937e-176	Dendritic cells	APOE
VIM	8.17701938158023e-180	3.25617879505168	0.95	0.019	1.53539892927932e-175	Dendritic cells	VIM
CXCL8	1.04381354846012e-175	3.85998797761919	0.85	0.015	1.95996869994357e-171	Dendritic cells	CXCL8
PLA2G7	2.02805446996589e-175	1.46768983166718	0.5	0.004	3.80807787825496e-171	Dendritic cells	PLA2G7
HLA-DRB5	2.33104678561944e-175	2.27720770055854	0.55	0.005	4.37700654935761e-171	Dendritic cells	HLA-DRB5
CTSB	7.07112797221247e-170	3.36246335047524	0.8	0.014	1.32774569934234e-165	Dendritic cells	CTSB
RGS1	3.32541476917693e-166	1.80230994022066	0.45	0.004	6.24413131208351e-162	Dendritic cells	RGS1
S100A11	1.77803803427206e-165	3.37696513620434	0.95	0.021	3.33862201695265e-161	Dendritic cells	S100A11
S100A9	3.30759333037861e-162	1.56700408747984	0.35	0.002	6.21066799645191e-158	Dendritic cells	S100A9
APOC1	4.94263556548424e-161	3.42218145316747	0.65	0.009	9.28078680130977e-157	Dendritic cells	APOC1
IFI30	4.70384080163418e-155	2.74438126863406	0.7	0.011	8.83240187322851e-151	Dendritic cells	IFI30
ICAM1	1.37251940733463e-153	1.2386960200037	0.35	0.002	2.57717969115224e-149	Dendritic cells	ICAM1
IL7R	1.21898611963067e-146	1.70414098712545	0.4	0.003	2.28889023683051e-142	Dendritic cells	IL7R
MMP9	2.168573847163e-146	2.90715994270468	0.8	0.016	4.07193111281796e-142	Dendritic cells	MMP9
DAB2	3.89704460275472e-146	1.12298302527679	0.35	0.002	7.31748065059253e-142	Dendritic cells	DAB2
LGMN	9.54053471089563e-143	1.88549146025377	0.65	0.011	1.79142620266487e-138	Dendritic cells	LGMN
CXCL3	1.66127165509573e-141	2.78978608343375	0.45	0.005	3.11936978677325e-137	Dendritic cells	CXCL3
SERPINB9	2.76604572569796e-136	1.43290816986845	0.4	0.004	5.19380405914306e-132	Dendritic cells	SERPINB9
IL1B	4.75649873507213e-136	2.36515886729481	0.4	0.004	8.93127767484493e-132	Dendritic cells	IL1B
CXCL2	9.97972100201234e-136	2.21621910728802	0.4	0.004	1.87389221254786e-131	Dendritic cells	CXCL2
INHBA	2.10818239600668e-134	1.30603986771793	0.3	0.002	3.95853408498174e-130	Dendritic cells	INHBA
SQOR	9.47307998742293e-133	1.15927133261142	0.35	0.003	1.7787602292384e-128	Dendritic cells	SQOR
NFKB1	5.75806103277376e-130	1.48748068752286	0.5	0.007	1.08119112012393e-125	Dendritic cells	NFKB1
SOCS3	7.87139320165314e-127	1.55940608840719	0.45	0.005	1.47801150147441e-122	Dendritic cells	SOCS3
TNFSF13B	1.41608860697452e-126	1.04585920090603	0.3	0.002	2.65898957731605e-122	Dendritic cells	TNFSF13B
MAP3K8	1.57403968505402e-126	1.23748739383725	0.3	0.002	2.95557431662594e-122	Dendritic cells	MAP3K8
BIRC3	2.11501690879996e-125	2.22352925793488	0.55	0.008	3.97136724965369e-121	Dendritic cells	BIRC3
CTSH	1.37473166165556e-119	1.34108233313898	0.3	0.002	2.58133364109064e-115	Dendritic cells	CTSH
CTSL	1.87224431956199e-118	3.1314240941138	0.65	0.013	3.51551315884155e-114	Dendritic cells	CTSL
EREG	4.96958116786672e-117	2.25458540013112	0.35	0.003	9.33138255890335e-113	Dendritic cells	EREG
CCL18	5.25536526480104e-117	1.87852247465057	0.35	0.003	9.86799935771692e-113	Dendritic cells	CCL18
TNFAIP8	2.30729296895734e-113	1.47414315265274	0.3	0.002	4.3324040078112e-109	Dendritic cells	TNFAIP8
HLA-DMB	3.70231438341747e-113	0.872047678074604	0.3	0.002	6.95183571774298e-109	Dendritic cells	HLA-DMB
CD74	4.77338302727924e-113	4.26354446485637	1	0.037	8.96298131032222e-109	Dendritic cells	CD74
CXCL16	1.1731893094686e-93	1.00810834436702	0.3	0.003	2.20289756638919e-89	Dendritic cells	CXCL16
TYMP	1.07514661408867e-91	2.1481011794115	0.65	0.018	2.0188027972743e-87	Dendritic cells	TYMP
LGALS1	1.79847452646226e-90	3.51949083514735	0.9	0.037	3.37699561833818e-86	Dendritic cells	LGALS1
SERPINB1	7.86417218385045e-85	1.56641244303211	0.4	0.007	1.4766556109616e-80	Dendritic cells	SERPINB1
BLVRB	1.51598828396976e-82	1.12125858738412	0.3	0.004	2.84657120081002e-78	Dendritic cells	BLVRB
G0S2	2.50006089357132e-78	2.59120920635509	0.4	0.008	4.69436433985887e-74	Dendritic cells	G0S2
NPC2	1.3035745971997e-77	2.40134624782204	0.8	0.034	2.44772202116187e-73	Dendritic cells	NPC2
CTSZ	7.83686023525764e-71	2.20409026054924	0.75	0.033	1.47152724637433e-66	Dendritic cells	CTSZ
GMFG	2.97346702308811e-69	1.17771321246564	0.3	0.005	5.58327902925255e-65	Dendritic cells	GMFG
