p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
NUAK2	1.12495769314488e-23	0.98668624415749	0.4	0.003	1.14813182162367e-19	CD4+ naive T cells	NUAK2
TSHZ2	2.08312292082304e-19	1.01594414019916	0.4	0.006	2.126035252992e-15	CD4+ naive T cells	TSHZ2
CCR7	3.11938280943909e-19	1.76451667815755	0.7	0.038	3.18364209531354e-15	CD4+ naive T cells	CCR7
GIMAP5	3.99173006656842e-17	1.42152975936566	0.7	0.045	4.07395970593973e-13	CD4+ naive T cells	GIMAP5
CD27	3.27675026306502e-15	1.44440778447106	0.8	0.07	3.34425131848416e-11	CD4+ naive T cells	CD27
ANXA2R	8.38573989760075e-15	1.32426220524414	0.6	0.038	8.55848613949133e-11	CD4+ naive T cells	ANXA2R
CD3E	1.43041405462316e-13	1.83803231889974	1	0.146	1.4598805841484e-09	CD4+ naive T cells	CD3E
RGS10	2.74987907095714e-12	1.58266841101286	0.7	0.073	2.80652657981886e-08	CD4+ naive T cells	RGS10
PMM1	7.38111783696223e-12	0.918127734221218	0.4	0.019	7.53316886440365e-08	CD4+ naive T cells	PMM1
CD48	1.35433742908773e-11	1.8874390703835	0.9	0.156	1.38223678012694e-07	CD4+ naive T cells	CD48
LINC00861	2.27082356465196e-11	1.75320761822282	0.6	0.057	2.31760253008379e-07	CD4+ naive T cells	LINC00861
BACH2	2.36755141145681e-11	0.788580019420195	0.3	0.01	2.41632297053282e-07	CD4+ naive T cells	BACH2
MOCS2	2.61684715238143e-11	0.753112612791959	0.3	0.01	2.67075420372049e-07	CD4+ naive T cells	MOCS2
MAL	3.33158709612182e-11	1.5858722813336	0.8	0.115	3.40021779030193e-07	CD4+ naive T cells	MAL
IL6ST	5.59742282567145e-11	1.31951829029995	0.5	0.038	5.71272973588028e-07	CD4+ naive T cells	IL6ST
IL32	2.74244928984146e-10	1.34519527500793	0.9	0.127	2.79894374521219e-06	CD4+ naive T cells	IL32
CDC25B	3.3153660813564e-10	1.25016333464929	0.4	0.025	3.38366262263234e-06	CD4+ naive T cells	CDC25B
GIMAP7	1.2315907699711e-09	1.60357384065306	0.7	0.096	1.2569615398325e-05	CD4+ naive T cells	GIMAP7
