p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MAL	8.9460296641733e-106	1.452779554643	0.286	0	1.57002820606241e-101	CD4+ Tcm	MAL
IL7R	5.51492627830192e-79	2.62563778068312	0.714	0.008	9.67869561841987e-75	CD4+ Tcm	IL7R
LTB	1.38952823134667e-73	2.87072212417466	0.714	0.009	2.4386220460134e-69	CD4+ Tcm	LTB
CD52	4.16726235441589e-66	2.85517993809373	1	0.021	7.31354543199989e-62	CD4+ Tcm	CD52
AC110769.2	5.68684547543452e-64	1.28167964956649	0.286	0.001	9.98041380938758e-60	CD4+ Tcm	AC110769.2
GRAP2	8.01389863249231e-64	1.27774613158153	0.286	0.001	1.4064392100024e-59	CD4+ Tcm	GRAP2
CYTIP	4.16915149553979e-62	2.2376632214753	0.714	0.011	7.31686087467234e-58	CD4+ Tcm	CYTIP
CD3D	1.26647334939351e-38	2.42551314993966	0.571	0.012	2.22266072818562e-34	CD4+ Tcm	CD3D
CD2	4.14498875313522e-27	2.30697765034091	0.429	0.01	7.27445526175232e-23	CD4+ Tcm	CD2
BIRC3	3.17971721501926e-26	2.10549375127364	0.571	0.018	5.58040371235881e-22	CD4+ Tcm	BIRC3
AKAP7	2.80073967040444e-25	1.27509486659272	0.286	0.004	4.91529812155979e-21	CD4+ Tcm	AKAP7
CD44	8.1551781651861e-22	2.12639961630712	0.714	0.035	1.43123376799016e-17	CD4+ Tcm	CD44
PTPRC	3.28924042135235e-21	1.71448697795221	0.571	0.023	5.77261693947337e-17	CD4+ Tcm	PTPRC
KLRB1	2.3988851466199e-19	2.44415100788592	0.429	0.014	4.21004343231792e-15	CD4+ Tcm	KLRB1
CD3E	1.65898298450696e-18	1.59075767873426	0.286	0.006	2.91151513780971e-14	CD4+ Tcm	CD3E
CD69	1.82447573731979e-18	1.56662821534037	0.286	0.006	3.20195491899623e-14	CD4+ Tcm	CD69
SAMSN1	2.37594361665668e-18	1.67235218192036	0.429	0.015	4.16978104723247e-14	CD4+ Tcm	SAMSN1
GIMAP1	8.23590164074621e-17	1.40821561097645	0.286	0.007	1.44540073795096e-12	CD4+ Tcm	GIMAP1
CD7	1.06481338079657e-16	1.51532071993103	0.286	0.007	1.86874748329799e-12	CD4+ Tcm	CD7
CORO1A	5.22121210192893e-16	1.39214268554312	0.429	0.017	9.16322723888527e-12	CD4+ Tcm	CORO1A
TNFAIP8	1.15073282599911e-14	1.39936902390096	0.286	0.008	2.01953610962844e-10	CD4+ Tcm	TNFAIP8
RGCC	2.60687348290811e-14	1.51133027080353	0.429	0.02	4.57506296250374e-10	CD4+ Tcm	RGCC
CXCR4	6.0925897840222e-14	2.41718723709308	0.571	0.037	1.0692495070959e-09	CD4+ Tcm	CXCR4
PHF11	4.46654041898944e-13	1.2755046143915	0.429	0.022	7.83877843532646e-09	CD4+ Tcm	PHF11
CCL5	2.56980543930206e-12	1.90808026515887	0.429	0.023	4.51000854597512e-08	CD4+ Tcm	CCL5
GMFG	2.96898137434615e-12	2.11858911615109	0.571	0.043	5.2105623119775e-08	CD4+ Tcm	GMFG
TCF7	1.48389850795411e-11	1.55246576099355	0.286	0.011	2.60424188145946e-07	CD4+ Tcm	TCF7
RGS10	5.81285271798107e-11	1.77056948977853	0.429	0.027	1.02015565200568e-06	CD4+ Tcm	RGS10
IL32	1.65206447468667e-09	2.25161869674631	0.571	0.058	2.8993731530751e-05	CD4+ Tcm	IL32
PRUNE1	3.02543677386432e-09	1.30577636499269	0.286	0.014	5.30964153813188e-05	CD4+ Tcm	PRUNE1
CD48	3.1647435111364e-09	1.39044224071069	0.286	0.014	5.55412486204439e-05	CD4+ Tcm	CD48
TRAC	4.3954253767637e-09	1.15751284840483	0.286	0.014	7.71397153622029e-05	CD4+ Tcm	TRAC
SRGN	7.31801519105615e-09	1.53116901097553	0.714	0.089	0.000128431166603035	CD4+ Tcm	SRGN
MCUB	9.79231620544921e-09	1.04558772866607	0.286	0.015	0.000171855149405634	CD4+ Tcm	MCUB
ANXA1	1.54189986054507e-08	2.29506393181708	0.571	0.067	0.000270603425525659	CD4+ Tcm	ANXA1
RUNX3	2.34716910726593e-08	1.38708339691163	0.286	0.016	0.00041192817832517	CD4+ Tcm	RUNX3
CLEC2B	3.19560238363944e-08	1.33205740262731	0.429	0.036	0.000560828218328722	CD4+ Tcm	CLEC2B
S100A4	5.26855667706663e-08	2.39568154835613	0.571	0.068	0.000924631696825193	CD4+ Tcm	S100A4
GIMAP7	6.9501323141822e-08	1.37453983521342	0.286	0.017	0.00121974822113898	CD4+ Tcm	GIMAP7
FXYD5	1.185805703926e-07	1.93251102293704	0.429	0.04	0.00208108901039013	CD4+ Tcm	FXYD5
ALOX5AP	1.23270786704957e-07	1.18755008687872	0.286	0.018	0.002163402306672	CD4+ Tcm	ALOX5AP
LEPROTL1	1.59665868052919e-07	1.7923637025132	0.571	0.072	0.00280213598432873	CD4+ Tcm	LEPROTL1
LSP1	1.59849815630937e-07	1.83566438592094	0.286	0.018	0.00280536426432295	CD4+ Tcm	LSP1
FLT3LG	3.31339653574804e-07	1.26680608336263	0.286	0.019	0.00581501092023782	CD4+ Tcm	FLT3LG
GPR183	1.50846556241861e-06	1.10170629094216	0.286	0.021	0.0264735706204467	CD4+ Tcm	GPR183
CD37	1.93619139212299e-06	1.25326373502981	0.286	0.022	0.0339801589317585	CD4+ Tcm	CD37
AL121944.1	3.93664742913001e-06	1.31594585309206	0.429	0.05	0.0690881623812316	CD4+ Tcm	AL121944.1
