p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FOXP3	2.89951194625787e-157	1.06521281184486	0.348	0.006	6.63263357706487e-153	CD4+ Tcm	FOXP3
CD3D	3.64828203159184e-153	1.98313661810955	0.955	0.07	8.34544514726633e-149	CD4+ Tcm	CD3D
ICOS	3.451914962846e-148	1.13495101422524	0.47	0.015	7.89625547751022e-144	CD4+ Tcm	ICOS
CD27	4.33135097291467e-147	1.45439479776652	0.606	0.027	9.90796535054231e-143	CD4+ Tcm	CD27
TRAC	2.3519593648929e-138	2.30184292946293	0.909	0.074	5.38010704719251e-134	CD4+ Tcm	TRAC
TIGIT	1.44745102937315e-127	1.54383434158817	0.5	0.021	3.31104422969107e-123	CD4+ Tcm	TIGIT
SPOCK2	3.96757974208549e-119	1.54433643963803	0.682	0.046	9.07583866002056e-115	CD4+ Tcm	SPOCK2
CTLA4	1.29268751075871e-117	1.2286933363852	0.424	0.016	2.95702268086055e-113	CD4+ Tcm	CTLA4
LTB	5.62592633075755e-111	2.32648062307972	0.803	0.073	1.28693064816079e-106	CD4+ Tcm	LTB
TRBC2	1.50053704968792e-106	1.98187094759291	0.818	0.077	3.43247850116112e-102	CD4+ Tcm	TRBC2
CD2	5.45681625916072e-103	1.7019180943891	0.773	0.069	1.24824671928301e-98	CD4+ Tcm	CD2
CD3E	6.67614327021378e-87	1.47916780465777	0.742	0.073	1.5271677730614e-82	CD4+ Tcm	CD3E
CD3G	1.09032912863907e-81	1.01754226519688	0.485	0.032	2.49412788176186e-77	CD4+ Tcm	CD3G
CD79B	2.38910185374852e-81	0.884156103392362	0.318	0.013	5.46507049044974e-77	CD4+ Tcm	CD79B
CD247	5.70697721599001e-69	1.07645144253245	0.561	0.051	1.30547103815771e-64	CD4+ Tcm	CD247
SIT1	4.96842686703871e-64	0.868994650455395	0.364	0.023	1.1365276458351e-59	CD4+ Tcm	SIT1
CD7	8.76916758153089e-60	1.4691880350544	0.727	0.103	2.00594708427519e-55	CD4+ Tcm	CD7
IL2RG	9.3515321169114e-55	1.3741564723049	0.652	0.094	2.13916297174348e-50	CD4+ Tcm	IL2RG
SKAP1	1.10526073005649e-54	0.913364964759371	0.364	0.027	2.52828392000423e-50	CD4+ Tcm	SKAP1
RORA	1.65110041152731e-54	1.07789226668443	0.439	0.041	3.77689219136872e-50	CD4+ Tcm	RORA
IL7R	6.65014217870503e-53	1.41670120081028	0.576	0.075	1.52122002337878e-48	CD4+ Tcm	IL7R
DUSP4	3.52491720007827e-50	1.50878536850363	0.47	0.052	8.06324809517903e-46	CD4+ Tcm	DUSP4
ITM2A	5.64222946944897e-50	1.07440323745409	0.545	0.067	1.29065999113645e-45	CD4+ Tcm	ITM2A
TNFRSF25	1.71216132128803e-45	0.82562694901534	0.364	0.034	3.91656902244638e-41	CD4+ Tcm	TNFRSF25
LINC01943	1.98037618536856e-45	1.21668060142017	0.318	0.026	4.53011052403058e-41	CD4+ Tcm	LINC01943
AC114760.2	2.60003407512124e-45	1.34728820769511	0.545	0.08	5.94757794683984e-41	CD4+ Tcm	AC114760.2
TRBC1	2.6206527632463e-44	1.54880150559927	0.485	0.061	5.99474319592591e-40	CD4+ Tcm	TRBC1
