p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
PLD5	3.06358082806341e-268	1.36089581466096	0.762	0.005	6.32231175487445e-264	Epithelial cells	PLD5
AC091544.4	6.40238294220118e-228	0.657252749330408	0.429	0.001	1.32125976778206e-223	Epithelial cells	AC091544.4
DCDC2	1.34384201680385e-97	0.508557155523905	0.381	0.005	2.7732867700781e-93	Epithelial cells	DCDC2
LINC02376	3.36503603812303e-82	1.04508058626362	0.429	0.008	6.94442487187449e-78	Epithelial cells	LINC02376
MFAP5	4.05815092875668e-71	1.05532185550708	0.619	0.021	8.37480607167516e-67	Epithelial cells	MFAP5
KCNJ12	2.53371622186522e-65	0.747466896297696	0.381	0.008	5.22883016706325e-61	Epithelial cells	KCNJ12
GABBR2	3.36402842236672e-41	0.839087730666833	0.571	0.033	6.94234545523821e-37	Epithelial cells	GABBR2
FAM174B	1.05040073728076e-36	0.703493180050257	0.429	0.02	2.16771200152631e-32	Epithelial cells	FAM174B
NTNG1	1.06987492685018e-35	0.385407192022376	0.286	0.009	2.20790088654072e-31	Epithelial cells	NTNG1
FGF18	1.72134764275749e-29	0.431684563580795	0.286	0.011	3.55234513035863e-25	Epithelial cells	FGF18
TMOD1	7.2187193852079e-28	0.71000838979159	0.476	0.035	1.48972711952535e-23	Epithelial cells	TMOD1
PDPN	8.64584019146574e-26	0.838121358792469	0.667	0.072	1.78424204031279e-21	Epithelial cells	PDPN
CXCL1	1.82932349459781e-25	2.05624235382977	0.905	0.149	3.77517489580151e-21	Epithelial cells	CXCL1
MEG3	5.7763282747218e-23	1.55557500633471	0.619	0.072	1.19206086605434e-18	Epithelial cells	MEG3
TENM2	1.21180882770255e-20	0.81413282334919	0.429	0.036	2.50080987772975e-16	Epithelial cells	TENM2
CRIP1	6.06885053973781e-20	1.21731843727707	0.524	0.059	1.25242868588569e-15	Epithelial cells	CRIP1
PAX8	6.59755127679527e-19	1.2746083681127	0.81	0.166	1.36153665699224e-14	Epithelial cells	PAX8
CLDN1	1.34614312740614e-18	0.965926943820867	0.667	0.106	2.77803557202805e-14	Epithelial cells	CLDN1
HHIP	1.97003889593282e-18	0.499078454764844	0.286	0.019	4.06556926953656e-14	Epithelial cells	HHIP
REM1	1.01544222228109e-17	0.405090322883019	0.381	0.035	2.09556811412148e-13	Epithelial cells	REM1
TPT1	1.01568131284305e-17	1.63456053868232	1	0.278	2.0960615253142e-13	Epithelial cells	TPT1
CCNA1	3.0137632018835e-17	1.06897958291541	0.667	0.115	6.21950311972698e-13	Epithelial cells	CCNA1
CD9	3.62616112758975e-17	1.89051781046487	0.952	0.368	7.48330871900697e-13	Epithelial cells	CD9
IL7R	3.65056033129082e-17	1.26289642947634	0.667	0.115	7.53366135568487e-13	Epithelial cells	IL7R
IFITM3	3.83934496139642e-17	1.46899756420495	1	0.401	7.92325619683379e-13	Epithelial cells	IFITM3
CXCL6	2.06551185689825e-16	1.45955920688143	0.905	0.222	4.26259681908092e-12	Epithelial cells	CXCL6
CLGN	4.0285070881407e-16	0.732248492882858	0.524	0.073	8.31363007779597e-12	Epithelial cells	CLGN
IGFBP5	4.33615515169201e-16	1.16485277847799	0.714	0.122	8.9485233865468e-12	Epithelial cells	IGFBP5
NAV1	1.89527562424382e-15	1.16566027011455	1	0.345	3.91128030575197e-11	Epithelial cells	NAV1
SLC7A2	5.11365660083013e-15	1.07976695227333	0.714	0.159	1.05530531271331e-10	Epithelial cells	SLC7A2
COL6A2	7.96250112449478e-15	1.10008611564741	0.762	0.183	1.64322135706199e-10	Epithelial cells	COL6A2
MALL	3.03696368273815e-14	0.994647392724968	0.81	0.204	6.26738195206671e-10	Epithelial cells	MALL
COL8A1	3.19960366607475e-14	0.944317627028375	0.762	0.188	6.60302208567847e-10	Epithelial cells	COL8A1
FN1	3.61468823790038e-14	2.09801868962285	1	0.746	7.45963211655501e-10	Epithelial cells	FN1
