p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MS4A1	3.44776148959876e-94	2.07490988907769	0.936	0.069	6.79519311985019e-90	Activated B cells	MS4A1
VPREB3	7.11609171981769e-93	1.98525876932871	0.851	0.058	1.40251051705887e-88	Activated B cells	VPREB3
CD79A	1.93955990609912e-80	1.93592750674598	0.979	0.097	3.82267861893075e-76	Activated B cells	CD79A
CD79B	1.82423435866639e-64	1.74447176651071	0.894	0.1	3.5953834974956e-60	Activated B cells	CD79B
LINC02397	6.04622074501104e-64	0.994063694442505	0.489	0.023	1.19164964663423e-59	Activated B cells	LINC02397
LINC00926	1.35586982758266e-50	0.973012396630313	0.511	0.036	2.67228384318266e-46	Activated B cells	LINC00926
TLR10	1.36743316809197e-47	0.707467505628457	0.319	0.013	2.69507403099247e-43	Activated B cells	TLR10
CD19	1.36940211094611e-45	0.842494542629335	0.426	0.026	2.69895462046369e-41	Activated B cells	CD19
BANK1	7.93776262055454e-44	1.21962935289427	0.617	0.068	1.56445363488509e-39	Activated B cells	BANK1
SPIB	8.4357967837335e-44	1.02557928149257	0.468	0.036	1.66261118810604e-39	Activated B cells	SPIB
HLA-DOB	1.52194449671967e-43	0.894676779623811	0.489	0.04	2.99960040858479e-39	Activated B cells	HLA-DOB
CHI3L2	1.27076071236955e-40	0.787670606051277	0.362	0.022	2.50454228800915e-36	Activated B cells	CHI3L2
LINC01781	2.73900277770131e-39	1.15293055249389	0.34	0.02	5.39830057457151e-35	Activated B cells	LINC01781
TNFRSF13C	1.68869123393993e-37	0.706219252812833	0.383	0.027	3.32824155297221e-33	Activated B cells	TNFRSF13C
LTB	1.22164978099928e-32	1.63832994348848	0.957	0.287	2.40774955337148e-28	Activated B cells	LTB
FCRLA	7.06857804414843e-32	0.846815466723114	0.404	0.037	1.39314604672121e-27	Activated B cells	FCRLA
LINC01857	2.66415118137602e-31	0.776865721221798	0.362	0.03	5.250775563374e-27	Activated B cells	LINC01857
IGHM	4.42124640760258e-30	2.00000153365346	0.702	0.148	8.71383454474393e-26	Activated B cells	IGHM
CD37	5.9131970848109e-29	1.51384679360894	0.979	0.431	1.16543201344538e-24	Activated B cells	CD37
AFF3	4.8519095802377e-28	0.605743290395543	0.298	0.022	9.56262859169049e-24	Activated B cells	AFF3
HVCN1	4.00895018008375e-26	1.03616851205088	0.511	0.08	7.90123990992705e-22	Activated B cells	HVCN1
TNFRSF13B	7.50815437874169e-26	0.683845568318131	0.277	0.021	1.4797821465062e-21	Activated B cells	TNFRSF13B
RCSD1	2.33544710995404e-25	0.939162348804097	0.617	0.115	4.60293270900842e-21	Activated B cells	RCSD1
RPL13A	1.3691827131612e-23	0.985180906917728	1	0.96	2.6985222093694e-19	Activated B cells	RPL13A
CD22	4.33020425170239e-23	0.522134177431493	0.298	0.028	8.53439955968024e-19	Activated B cells	CD22
RPL11	4.53818145795538e-23	0.82421785093625	1	0.95	8.94430183548426e-19	Activated B cells	RPL11
AIM2	6.58293626119655e-23	0.749065606342247	0.34	0.038	1.29743090771923e-18	Activated B cells	AIM2
RPLP2	6.87290953671682e-23	0.892241439295218	1	0.965	1.35458174059152e-18	Activated B cells	RPLP2
RPL8	1.70818651249617e-22	0.879821019823236	1	0.945	3.36666479747869e-18	Activated B cells	RPL8
RPL23A	4.93041139239936e-22	0.942142557079146	1	0.909	9.7173478132799e-18	Activated B cells	RPL23A
POU2AF1	8.92995285583219e-22	0.546870244361047	0.298	0.03	1.76000440835597e-17	Activated B cells	POU2AF1
RPL3	9.01882545279934e-22	0.948529582157081	1	0.917	1.77752030849222e-17	Activated B cells	RPL3
