p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SELL	3.43583045536313e-121	1.9258636697061	0.5	0.001	6.26558041840021e-117	CD4+ Tcm	SELL
MAGEH1	2.95843976117909e-81	1.90766286891547	0.5	0.002	5.3950107484862e-77	CD4+ Tcm	MAGEH1
TIGIT	9.23797050294078e-33	1.69325590136373	0.5	0.008	1.68463630091628e-28	CD4+ Tcm	TIGIT
LAT	1.33213121305844e-26	2.07653323588791	0.667	0.02	2.42927448013338e-22	CD4+ Tcm	LAT
ITGB2	4.04359631304028e-25	1.82009004719114	0.5	0.012	7.37390223646026e-21	CD4+ Tcm	ITGB2
PYHIN1	8.22916819174259e-25	1.49287581545893	0.333	0.005	1.50067111144618e-20	CD4+ Tcm	PYHIN1
TRAF3IP3	1.45374318001209e-22	1.77272726885856	0.333	0.005	2.65104606307006e-18	CD4+ Tcm	TRAF3IP3
BEX4	1.77652580773825e-22	1.17710583159867	0.333	0.005	3.23967246299147e-18	CD4+ Tcm	BEX4
CD2	1.467304127483e-20	2.16140465544903	0.833	0.042	2.67577580687799e-16	CD4+ Tcm	CD2
CCR7	2.13676869001201e-17	1.15249769412494	0.333	0.008	3.89661138310589e-13	CD4+ Tcm	CCR7
ELMO1	2.44049041369975e-15	1.55972976465206	0.333	0.009	4.45047831842286e-11	CD4+ Tcm	ELMO1
TRAC	9.20672941565923e-15	2.09021145548357	0.833	0.061	1.67893917623962e-10	CD4+ Tcm	TRAC
SRGN	3.16222965979846e-13	2.28176362836187	1	0.105	5.76664200760847e-09	CD4+ Tcm	SRGN
ITM2A	1.35972635001629e-12	1.64046450672737	0.667	0.046	2.47959697188971e-08	CD4+ Tcm	ITM2A
TRBC2	7.55592591950224e-11	1.77234107155235	0.667	0.053	1.37789865068043e-06	CD4+ Tcm	TRBC2
GMFG	3.11919121386056e-10	1.63921579367569	0.5	0.033	5.68815709759612e-06	CD4+ Tcm	GMFG
LTB	4.72725169476605e-10	2.42198718732127	0.5	0.034	8.62061619057537e-06	CD4+ Tcm	LTB
CD96	2.67181335859928e-09	1.48972302217325	0.5	0.036	4.87231884074164e-05	CD4+ Tcm	CD96
TRBC1	2.72500010063084e-09	1.97010998363244	0.5	0.037	4.9693101835104e-05	CD4+ Tcm	TRBC1
VIM	3.2377326228964e-09	1.49223542793455	0.667	0.063	5.90432921111388e-05	CD4+ Tcm	VIM
ELOVL5	4.44421727775598e-09	1.563906907184	0.5	0.038	8.1044746277158e-05	CD4+ Tcm	ELOVL5
RORA	4.76825187140539e-09	1.76671321330372	0.5	0.037	8.69538411269486e-05	CD4+ Tcm	RORA
LCK	5.83711642978902e-09	1.45215986379687	0.5	0.038	0.000106445655213633	CD4+ Tcm	LCK
PTPN7	2.24382593561495e-08	1.00175270323533	0.333	0.018	0.000409184097618742	CD4+ Tcm	PTPN7
CD3D	3.87299479860836e-08	1.39013818672405	0.667	0.068	0.00070627933147422	CD4+ Tcm	CD3D
LCP1	6.92988158882242e-07	1.48795986598002	0.333	0.023	0.0126373320653766	CD4+ Tcm	LCP1
PTPRC	2.07018732181217e-06	1.69401252111804	0.5	0.055	0.0377519360005667	CD4+ Tcm	PTPRC
BIRC3	3.18957145074135e-06	1.98371012508624	0.833	0.198	0.0581650249757193	CD4+ Tcm	BIRC3
ARHGDIB	4.64689306517788e-06	2.18893612956029	0.667	0.116	0.0847407419365838	CD4+ Tcm	ARHGDIB
CD7	1.98794212061572e-05	0.806677710908876	0.5	0.06	0.362521125115483	CD4+ Tcm	CD7
CORO1A	2.04102580292027e-05	1.22846167761302	0.5	0.066	0.37220146542054	CD4+ Tcm	CORO1A
MAF	2.57412718331407e-05	1.42147723818664	0.333	0.032	0.469417833149153	CD4+ Tcm	MAF
CD69	2.74719171588283e-05	1.00132469614865	0.5	0.064	0.500977881308393	CD4+ Tcm	CD69
EMP3	3.6306441331711e-05	1.92543454128963	0.667	0.144	0.662084264125082	CD4+ Tcm	EMP3
CD37	5.69785997110904e-05	1.6469296070166	0.333	0.035	1	CD4+ Tcm	CD37
LGALS1	7.06724976788984e-05	1.04444724513711	0.5	0.074	1	CD4+ Tcm	LGALS1
TSC22D3	0.000110045039342998	1.81318107963614	0.833	0.279	1	CD4+ Tcm	TSC22D3
RGS1	0.000113396992006161	1.23215163453352	0.5	0.075	1	CD4+ Tcm	RGS1
CEP135	0.000114744094051942	1.53053647248027	0.333	0.038	1	CD4+ Tcm	CEP135
DOK2	0.000127711076539188	0.904505224073829	0.333	0.035	1	CD4+ Tcm	DOK2
CDC42EP3	0.000138266213553852	1.4378315902656	0.5	0.087	1	CD4+ Tcm	CDC42EP3
LINC-PINT	0.000154444954072642	1.64232913862751	0.667	0.161	1	CD4+ Tcm	LINC-PINT
CD52	0.000191867862146381	1.3831717325191	0.5	0.08	1	CD4+ Tcm	CD52
CLEC2D	0.000249675537753114	1.07037011210231	0.333	0.038	1	CD4+ Tcm	CLEC2D
B2M	0.00025091483356666	1.27893938126539	1	0.989	1	CD4+ Tcm	B2M
LBH	0.00027041958578416	1.02790153180579	0.333	0.04	1	CD4+ Tcm	LBH
RPS27	0.000602403880161656	0.959250006783671	1	0.99	1	CD4+ Tcm	RPS27
C21orf91	0.000641212360412439	1.14133739655745	0.333	0.047	1	CD4+ Tcm	C21orf91
