p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CD1A	1.17198200355153e-12	0.675987748441167	0.31	0.043	2.12480337243892e-08	Dendritic cells	CD1A
CD1E	1.71389983526179e-12	0.928536502212564	0.405	0.077	3.10730040132962e-08	Dendritic cells	CD1E
CYTIP	3.42042006472305e-10	0.491417573167707	0.738	0.281	6.20122157734288e-06	Dendritic cells	CYTIP
COTL1	1.20331721975961e-09	0.83188839088965	0.976	0.825	2.18161411942417e-05	Dendritic cells	COTL1
SERPINF1	3.96605240136069e-09	0.524848663989336	0.643	0.249	7.19045300366693e-05	Dendritic cells	SERPINF1
LSP1	2.80197223897213e-08	0.734813613646842	0.905	0.645	0.000507997566925647	Dendritic cells	LSP1
PLAC8	8.14771197446187e-08	0.800113181656656	0.357	0.096	0.00147718018096994	Dendritic cells	PLAC8
VIM	9.54739739366845e-08	0.554471612848652	1	0.952	0.00173094314747209	Dendritic cells	VIM
CD44	1.22388639941061e-07	0.683301585500204	0.833	0.465	0.00221890604213144	Dendritic cells	CD44
PTGS1	1.38386626855441e-07	0.384231422609451	0.714	0.336	0.00250894954488914	Dendritic cells	PTGS1
C15orf48	1.74942950317695e-07	0.766437001710319	0.857	0.535	0.0031717156892598	Dendritic cells	C15orf48
GPAT3	4.53098866097711e-07	0.290259022335736	0.405	0.129	0.00821468244235149	Dendritic cells	GPAT3
SH3BGRL3	5.00744946123339e-07	0.442881690321833	1	0.943	0.00907850587321614	Dendritic cells	SH3BGRL3
PFN1	6.47272234027655e-07	0.371230589700612	1	1	0.0117350456029214	Dendritic cells	PFN1
HLA-DQB1	8.08586127494551e-07	0.721245119747316	0.929	0.623	0.0146596664914762	Dendritic cells	HLA-DQB1
PSMB8	9.59250569022765e-07	0.382676807149474	0.929	0.58	0.0173912128163827	Dendritic cells	PSMB8
ARHGDIB	9.82297851164777e-07	0.440491226534845	1	0.913	0.0178090600416174	Dendritic cells	ARHGDIB
GLIPR1	1.11975851975328e-06	0.478262046998013	0.905	0.587	0.0203012219631269	Dendritic cells	GLIPR1
IL18	1.14498080554824e-06	0.614427236535072	0.81	0.443	0.0207585020045896	Dendritic cells	IL18
IFNGR2	1.47453465145645e-06	0.309738437827622	0.952	0.705	0.0267333132309055	Dendritic cells	IFNGR2
LST1	1.64700100632153e-06	0.525348781410262	0.952	0.654	0.0298601282446093	Dendritic cells	LST1
RAP1A	1.77040342025655e-06	0.398075898165403	0.929	0.94	0.0320974140092512	Dendritic cells	RAP1A
IL2RG	1.90833832819465e-06	0.5298555023592	0.643	0.353	0.0345981738901691	Dendritic cells	IL2RG
LGALS1	2.10613035670164e-06	0.469671906130709	1	0.993	0.0381841433670007	Dendritic cells	LGALS1
SH3KBP1	3.12774802119506e-06	0.318003392691875	0.762	0.484	0.0567060716242664	Dendritic cells	SH3KBP1
AP1S2	3.72097879327463e-06	0.410060756199077	0.905	0.69	0.0674613455220691	Dendritic cells	AP1S2
CTSH	3.84288906682481e-06	0.61429815539096	0.929	0.698	0.0696715787815338	Dendritic cells	CTSH
LCP1	3.9105790299226e-06	0.410408547498896	0.833	0.494	0.0708987978124968	Dendritic cells	LCP1
PSME1	4.36906804388728e-06	0.403601250934396	0.976	0.734	0.0792112036356763	Dendritic cells	PSME1
CD53	4.90307219906426e-06	0.388466190000435	0.952	0.64	0.088892698969035	Dendritic cells	CD53
LPXN	5.4402006479301e-06	0.311370767246861	0.667	0.336	0.0986308377469727	Dendritic cells	LPXN
PFDN5	5.56926559760535e-06	0.336229218966252	1	0.997	0.100970785284585	Dendritic cells	PFDN5
CD1C	5.64372507480389e-06	0.388877728176768	0.31	0.089	0.102320735606195	Dendritic cells	CD1C
ANXA1	6.2664527311037e-06	0.459601260617372	0.952	0.683	0.11361078801491	Dendritic cells	ANXA1
HLA-DRB5	7.02442825779815e-06	0.499308091950296	0.952	0.628	0.12735288431388	Dendritic cells	HLA-DRB5
HLA-DRA	7.30718336641763e-06	0.56725493755376	1	0.866	0.132479234433152	Dendritic cells	HLA-DRA
PTPRC	7.62899104534906e-06	0.459994699836816	0.857	0.581	0.138313607652178	Dendritic cells	PTPRC
SPI1	8.50369100858795e-06	0.4056283632411	1	0.65	0.154171917985699	Dendritic cells	SPI1
HLA-DPB1	8.99273539900081e-06	0.499518315061287	1	0.736	0.163038292783885	Dendritic cells	HLA-DPB1
BTG1	9.68091546720433e-06	0.434104462642651	0.929	0.823	0.175514997420415	Dendritic cells	BTG1
EMP3	9.7667639648313e-06	0.408106290261102	0.976	0.693	0.177071430682391	Dendritic cells	EMP3
JAML	1.0623366569503e-05	0.460177912530838	0.31	0.094	0.192601635905089	Dendritic cells	JAML
C1orf162	1.10720346452094e-05	0.42431001475529	0.905	0.554	0.200735988117646	Dendritic cells	C1orf162
H2AFY	1.11302453376977e-05	0.313636094135593	0.952	0.889	0.201791347972459	Dendritic cells	H2AFY
HCLS1	1.27913753495353e-05	0.318617629417463	0.952	0.539	0.231907635087076	Dendritic cells	HCLS1
MFSD1	1.44812639159463e-05	0.357687104238005	0.881	0.605	0.262545314796107	Dendritic cells	MFSD1
CAMK1	1.45009138503781e-05	0.430262371606468	0.69	0.391	0.262901568107356	Dendritic cells	CAMK1
DBNL	1.46947371343335e-05	0.311815395612941	0.881	0.643	0.266415584245467	Dendritic cells	DBNL
UGCG	1.67808109476816e-05	0.303153337614879	0.429	0.18	0.304236102481467	Dendritic cells	UGCG
TMSB4X	1.73105319365824e-05	0.40625582979057	1	1	0.313839944010238	Dendritic cells	TMSB4X
SYS1	1.7503163827805e-05	0.275826921941921	0.381	0.158	0.317332360198105	Dendritic cells	SYS1
HLA-DQA1	1.90960374197452e-05	0.54921605792832	0.952	0.588	0.34621115841998	Dendritic cells	HLA-DQA1
FAM49B	2.18567876464802e-05	0.349715854122948	0.952	0.899	0.396263560030685	Dendritic cells	FAM49B
HLA-DPA1	2.27539504532301e-05	0.451074653930931	0.976	0.693	0.412529121717062	Dendritic cells	HLA-DPA1
ALOX5AP	2.2894606524818e-05	0.600209206715415	0.857	0.626	0.41507921629495	Dendritic cells	ALOX5AP
CORO1A	2.33137118581933e-05	0.544354595731791	0.881	0.626	0.422677595989045	Dendritic cells	CORO1A
ZFAS1	2.36936520141134e-05	0.433554464093411	0.929	0.794	0.429565911015875	Dendritic cells	ZFAS1
ZEB2	2.40143853022346e-05	0.393487402113475	0.762	0.473	0.435380805529513	Dendritic cells	ZEB2
EID1	2.45197390250309e-05	0.315226539569451	0.929	0.575	0.444542868523811	Dendritic cells	EID1
CTSS	2.4601217805783e-05	0.420848210994363	1	0.729	0.446020078818845	Dendritic cells	CTSS
ITGB2	2.50454153006806e-05	0.420418072968762	0.952	0.647	0.454073379401339	Dendritic cells	ITGB2
ADAM8	2.57665737380241e-05	0.323887267463785	0.595	0.286	0.467147981870376	Dendritic cells	ADAM8
ITGB7	2.58629986793682e-05	0.280276575970271	0.548	0.247	0.468896166056945	Dendritic cells	ITGB7
S100B	2.60514331441116e-05	0.568518122551651	0.69	0.443	0.472312482902744	Dendritic cells	S100B
ARPC2	2.75214483897192e-05	0.306102481882693	1	0.997	0.49896385930561	Dendritic cells	ARPC2
GPSM3	2.87800520636179e-05	0.442891169720241	0.833	0.595	0.521782343913392	Dendritic cells	GPSM3
CFL1	3.27158963933857e-05	0.317377741817776	1	1	0.593139201612082	Dendritic cells	CFL1
