p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SPI1	1.66691836418269e-24	1.15276779712486	1	0.197	3.49336081581765e-20	Dendritic cells	SPI1
CD1E	1.76089678499677e-23	0.94977649649844	0.308	0.017	3.69031139231774e-19	Dendritic cells	CD1E
CD1C	2.71808106308736e-22	0.465655517813214	0.269	0.013	5.69628248391219e-18	Dendritic cells	CD1C
MNDA	3.03591254698583e-22	1.2172671840917	0.962	0.197	6.3623619247182e-18	Dendritic cells	MNDA
LST1	1.44566453922931e-21	1.06151210579968	0.962	0.196	3.02967917486287e-17	Dendritic cells	LST1
CLEC7A	3.69827535898646e-21	0.714505713881536	0.885	0.173	7.75047566982793e-17	Dendritic cells	CLEC7A
LSP1	8.43849791557593e-21	1.32707441611673	0.885	0.189	1.76845600816725e-16	Dendritic cells	LSP1
SERPINF1	1.16371719237828e-20	0.983021245685436	0.731	0.121	2.43880212006717e-16	Dendritic cells	SERPINF1
CD1D	1.89625085764818e-20	0.344100618715161	0.308	0.021	3.97397292237329e-16	Dendritic cells	CD1D
HCLS1	1.03910614374238e-19	0.940182323871408	0.846	0.183	2.17765474544091e-15	Dendritic cells	HCLS1
CD300A	2.88351662826785e-19	0.743134131309986	0.731	0.134	6.04298579786093e-15	Dendritic cells	CD300A
IL16	3.28172938357645e-19	0.462964478845902	0.423	0.042	6.87752026916117e-15	Dendritic cells	IL16
C1orf162	3.72438853521008e-19	1.01631340123043	0.923	0.202	7.80520105323977e-15	Dendritic cells	C1orf162
LY86	4.34097107171922e-19	0.791470452264804	0.808	0.159	9.09737307500198e-15	Dendritic cells	LY86
IGSF6	5.05891893241136e-19	0.999067776690219	0.808	0.157	1.06019764066545e-14	Dendritic cells	IGSF6
PTPRC	5.52757813889129e-19	0.756405519853883	0.885	0.177	1.15841455056745e-14	Dendritic cells	PTPRC
ITGB2	5.73610281421272e-19	1.22191049152786	0.962	0.255	1.20211506677456e-14	Dendritic cells	ITGB2
TNFAIP8L2	8.00981930940632e-19	0.508632465600414	0.577	0.081	1.67861783267228e-14	Dendritic cells	TNFAIP8L2
CORO1A	1.46286408358774e-18	1.13209953268304	0.885	0.223	3.06572425997484e-14	Dendritic cells	CORO1A
AIF1	2.72657629972915e-18	1.33110711811066	0.962	0.243	5.71408595134238e-14	Dendritic cells	AIF1
GLIPR1	3.84200420693102e-18	0.834374427563795	0.808	0.183	8.05168821646534e-14	Dendritic cells	GLIPR1
CD53	4.86510525608661e-18	1.04382592060081	0.923	0.226	1.01958010851807e-13	Dendritic cells	CD53
SMCO4	8.90063162571569e-18	0.753384119387427	0.692	0.131	1.86530536980124e-13	Dendritic cells	SMCO4
RASSF4	9.06622648733215e-18	0.829308158072265	0.923	0.256	1.9000090849502e-13	Dendritic cells	RASSF4
SNX20	9.31590401221245e-18	0.42829101013581	0.5	0.065	1.95233400383936e-13	Dendritic cells	SNX20
ALOX5AP	1.8416243878845e-17	1.31831968856772	0.808	0.184	3.85949222968954e-13	Dendritic cells	ALOX5AP
LAT2	3.23490972951353e-17	0.68062582172245	0.654	0.12	6.77940032014151e-13	Dendritic cells	LAT2
FCER1A	3.54768822271011e-17	0.484576918536279	0.308	0.025	7.43489020833358e-13	Dendritic cells	FCER1A
LILRB4	4.68046025389795e-17	0.901841808401545	0.846	0.184	9.80884055409393e-13	Dendritic cells	LILRB4
HLA-DQB2	5.21043760484089e-17	0.577779688558915	0.462	0.059	1.09195140884651e-12	Dendritic cells	HLA-DQB2
ITGAM	9.2360444466451e-17	0.442830107651426	0.462	0.058	1.93559783468341e-12	Dendritic cells	ITGAM
HLA-DQA1	1.2314138296781e-16	1.61988570857292	1	0.353	2.58067396285639e-12	Dendritic cells	HLA-DQA1
S100B	1.31699190388766e-16	0.621309375514919	0.346	0.033	2.76001993297736e-12	Dendritic cells	S100B
ARHGDIB	1.46357410086851e-16	1.25801066644895	0.962	0.291	3.06721224319014e-12	Dendritic cells	ARHGDIB
RGS1	1.76730282786411e-16	1.64849478392831	1	0.36	3.70373653635482e-12	Dendritic cells	RGS1
CSF2RA	3.18171827689802e-16	0.78563436216046	0.577	0.096	6.66792699289519e-12	Dendritic cells	CSF2RA
RGS18	3.29260572051391e-16	0.419595291313856	0.423	0.051	6.90031380848100e-12	Dendritic cells	RGS18
SRGN	4.96861416937028e-16	1.40150431293797	1	0.342	1.04127247147493e-11	Dendritic cells	SRGN
BCL2A1	5.54281492631369e-16	0.973556575376005	0.615	0.113	1.16160772410756e-11	Dendritic cells	BCL2A1
LAPTM5	1.00092526412361e-15	1.20613715961181	0.962	0.273	2.09763907602384e-11	Dendritic cells	LAPTM5
HCK	1.07643322566653e-15	0.619540389872128	0.654	0.125	2.25588111102935e-11	Dendritic cells	HCK
KYNU	1.1786264876319e-15	0.485976466010834	0.577	0.096	2.47004753013016e-11	Dendritic cells	KYNU
MS4A6A	1.79829724552283e-15	1.28747734814178	0.808	0.205	3.76869153744219e-11	Dendritic cells	MS4A6A
RNASE6	2.12059692631467e-15	0.829327529788655	0.808	0.179	4.44413497847765e-11	Dendritic cells	RNASE6
FCGR2A	2.17710515700112e-15	0.835344202575908	0.731	0.157	4.56255927752725e-11	Dendritic cells	FCGR2A
IRF8	2.69382668734272e-15	0.813083710265128	0.5	0.077	5.64545258866413e-11	Dendritic cells	IRF8
CD86	3.56708318922418e-15	0.606158941515318	0.731	0.148	7.47553623965712e-11	Dendritic cells	CD86
IL18	4.1509052680542e-15	0.770131993232448	0.769	0.188	8.69905217026118e-11	Dendritic cells	IL18
LPXN	4.22277953390127e-15	0.633536106365625	0.654	0.139	8.84967906919689e-11	Dendritic cells	LPXN
TGFBI	5.02229136040591e-15	0.899609938480913	0.808	0.191	1.05252160040027e-10	Dendritic cells	TGFBI
PPP1R18	5.06056888828837e-15	0.525019875838798	0.731	0.165	1.06054342191859e-10	Dendritic cells	PPP1R18
HMOX1	6.32401723663267e-15	0.675492661356425	0.808	0.181	1.32532429228111e-10	Dendritic cells	HMOX1
LY96	7.05322960793511e-15	0.834739777541783	0.808	0.189	1.47814532893496e-10	Dendritic cells	LY96
FMNL1	7.74080530239857e-15	0.655622802555297	0.654	0.138	1.62224056722367e-10	Dendritic cells	FMNL1
LCP1	8.62038052081383e-15	0.760654766441016	0.846	0.239	1.80657314574696e-10	Dendritic cells	LCP1
CSTA	9.79735794488739e-15	0.680140077622	0.731	0.162	2.05323230451005e-10	Dendritic cells	CSTA
TYMP	1.56886896569666e-14	1.00624031185158	1	0.345	3.2878786914105e-10	Dendritic cells	TYMP
CD163	1.5752808221453e-14	0.719714141926771	0.731	0.158	3.30131601896991e-10	Dendritic cells	CD163
PLEKHO1	2.06878020356498e-14	0.809581041964076	0.808	0.26	4.33554267261112e-10	Dendritic cells	PLEKHO1
GPR65	2.45236497226475e-14	0.448120674321875	0.615	0.111	5.13942127237523e-10	Dendritic cells	GPR65
PRKCB	2.7081731689356e-14	0.258166591082896	0.308	0.03	5.67551851013833e-10	Dendritic cells	PRKCB
UBB	3.22215383834986e-14	1.21898079683673	0.962	0.332	6.75266779902979e-10	Dendritic cells	UBB
