Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	myeloid DCStep
ENSG00000000938	FGR	 c-fgr, p55c-fgr, SRC2,	"FGR proto-oncogene, Src family tyrosine kinase"	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2268	FGR	TopGeneInFirstStep,CancerDExpr,FunctionGene
ENSG00000001167	NFYA	 CBF-B, HAP2, NF-YA,	"Nuclear transcription factor Y subunit alpha"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4800	NFYA	TF
ENSG00000001561	ENPP4	 AP3Aase, KIAA0879, NPP4,	"Ectonucleotide pyrophosphatase/phosphodiesterase 4"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	22875	ENPP4	DCHighExpr
ENSG00000002549	LAP3	 LAP, LAPEP, PEPS,	"Leucine aminopeptidase 3"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51056	LAP3	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000003402	CFLAR	 c-FLIP, CASH, CASP8AP1, Casper, cFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT,	"CASP8 and FADD like apoptosis regulator"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8837	CFLAR	CancerDExpr,DCHighExpr
ENSG00000004399	PLXND1	 KIAA0620,	"Plexin D1"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	23129	PLXND1	CancerDExpr,FunctionGene
ENSG00000004534	RBM6	 3G2, DEF-3, DEF3, g16, NY-LU-12,	"RNA binding motif protein 6"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10180	RBM6	DCHighExpr
ENSG00000004700	RECQL	 RecQ1, RecQL1,	"RecQ like helicase"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5965	RECQL	DCHighExpr
ENSG00000005020	SKAP2	 RA70, SAPS, SCAP2, SKAP-HOM, SKAP55R,	"Src kinase associated phosphoprotein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8935	SKAP2	CancerDExpr,DCHighExpr
ENSG00000005059	MCUB	 CCDC109B, FLJ20647,	"Mitochondrial calcium uniporter dominant negative subunit beta"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	55013	MCUB	DCHighExpr
