Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	macrophageStep
ENSG00000000938	FGR	 c-fgr, p55c-fgr, SRC2,	"FGR proto-oncogene, Src family tyrosine kinase"	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2268	FGR	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000001036	FUCA2	 dJ20N2.5, MGC1314,	"Alpha-L-fucosidase 2"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	2519	FUCA2	TopGeneInFirstStep,LiverMacrophage
ENSG00000001167	NFYA	 CBF-B, HAP2, NF-YA,	"Nuclear transcription factor Y subunit alpha"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4800	NFYA	TF
ENSG00000001630	CYP51A1	 CP51, CYP51, CYPL1, LDM, P450-14DM, P450L1,	"Cytochrome P450 family 51 subfamily A member 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1595	CYP51A1	LiverMacrophage,KupfferCells
ENSG00000002549	LAP3	 LAP, LAPEP, PEPS,	"Leucine aminopeptidase 3"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51056	LAP3	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000002933	TMEM176A	 HCA112, MS4B1,	"Transmembrane protein 176A"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	55365	TMEM176A	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000003402	CFLAR	 c-FLIP, CASH, CASP8AP1, Casper, cFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT,	"CASP8 and FADD like apoptosis regulator"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8837	CFLAR	LiverMacrophage,KupfferCells
ENSG00000004399	PLXND1	 KIAA0620,	"Plexin D1"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	23129	PLXND1	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000004468	CD38	 ,	"CD38 molecule"	"Cancer-related genes, CD markers, Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	952	CD38	LiverMacrophage
ENSG00000004534	RBM6	 3G2, DEF-3, DEF3, g16, NY-LU-12,	"RNA binding motif protein 6"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10180	RBM6	KupfferCells
