Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD8.T.cellStep	CD4.T.cellStep	macrophageStep
ENSG00000000938	FGR	 c-fgr, p55c-fgr, SRC2,	"FGR proto-oncogene, Src family tyrosine kinase"	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2268	FGR	TopGeneInFirstStep,FunctionGene	FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000001167	NFYA	 CBF-B, HAP2, NF-YA,	"Nuclear transcription factor Y subunit alpha"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4800	NFYA	TF	TF	TF
ENSG00000002549	LAP3	 LAP, LAPEP, PEPS,	"Leucine aminopeptidase 3"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51056	LAP3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000003402	CFLAR	 c-FLIP, CASH, CASP8AP1, Casper, cFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT,	"CASP8 and FADD like apoptosis regulator"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8837	CFLAR	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000005059	MCUB	 CCDC109B, FLJ20647,	"Mitochondrial calcium uniporter dominant negative subunit beta"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	55013	MCUB	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000005194	CIAPIN1	 Anamorsin, CIAE2,	"Cytokine induced apoptosis inhibitor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57019	CIAPIN1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000005302	MSL3	 MSL3L1,	"MSL complex subunit 3"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10943	MSL3	TopGeneInFirstStep	TopGeneInFirstStep	KupfferCells
ENSG00000005483	KMT2E	 HDCMC04P, MLL5,	"Lysine methyltransferase 2E (inactive)"	"Disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55904	KMT2E	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000005801	ZNF195	 ,	"Zinc finger protein 195"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7748	ZNF195	TF	TF	TF
ENSG00000005844	ITGAL	 CD11A, LFA-1,	"Integrin subunit alpha L"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3683	ITGAL	TopGeneInFirstStep,FunctionGene	FunctionGene	FunctionGene
ENSG00000005889	ZFX	 ZNF926,	"Zinc finger protein X-linked"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7543	ZFX	TF	TF	TF
ENSG00000006015	REX1BD	 C19orf60, FLJ20850, FLJ30108, FLJ34606, FLJ37391,	"Required for excision 1-B domain containing"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55049	REX1BD	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000006194	ZNF263	 FPM315, ZKSCAN12, ZSCAN44,	"Zinc finger protein 263"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10127	ZNF263	TF	TF	TF
ENSG00000006327	TNFRSF12A	 CD266, FN14, TweakR,	"TNF receptor superfamily member 12A"	"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	51330	TNFRSF12A	FunctionGene	FunctionGene	FunctionGene
ENSG00000007255	TRAPPC6A	 HSPC289, MGC2650, TRS33,	"Trafficking protein particle complex 6A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	79090	TRAPPC6A	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000007312	CD79B	 B29, IGB,	"CD79b molecule"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	974	CD79B	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene
ENSG00000008513	ST3GAL1	 SIAT4A, SIATFL, ST3GalA.1, ST3O,	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	6482	ST3GAL1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000008517	IL32	 NK4, TAIF, TAIFb, TAIFd,	"Interleukin 32"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	9235	IL32	TopGeneInFirstStep,CancerDExpr,FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene	FunctionGene,KupfferCells
ENSG00000009790	TRAF3IP3	 T3JAM,	"TRAF3 interacting protein 3"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	80342	TRAF3IP3	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep
ENSG00000009844	VTA1	 C6orf55, HSPC228, My012,	"Vesicle trafficking 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51534	VTA1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000010539	ZNF200	 ,	"Zinc finger protein 200"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7752	ZNF200	TF	TF	TF
ENSG00000010810	FYN	 MGC45350, SLK, SYN,	"FYN proto-oncogene, Src family tyrosine kinase"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2534	FYN	TopGeneInFirstStep,CancerDExpr,FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene	FunctionGene,KupfferCells
ENSG00000011009	LYPLA2	 APT-2,	"Lysophospholipase 2"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11313	LYPLA2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000011243	AKAP8L	 HAP95, NAKAP95,	"A-kinase anchoring protein 8 like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26993	AKAP8L	TF	TF	TF
ENSG00000011422	PLAUR	 CD87, UPAR, URKR,	"Plasminogen activator, urokinase receptor"	"Cancer-related genes, CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	5329	PLAUR	FunctionGene	FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000011600	TYROBP	 DAP12, KARAP, PLO-SL, PLOSL,	"Transmembrane immune signaling adaptor TYROBP"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7305	TYROBP	TopGeneInFirstStep,FunctionGene	FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000012061	ERCC1	 RAD10,	"ERCC excision repair 1, endonuclease non-catalytic subunit"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2067	ERCC1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,KupfferCells
ENSG00000012660	ELOVL5	 dJ483K16.1, HELO1, SCA38,	"ELOVL fatty acid elongase 5"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	60481	ELOVL5	TopGeneInFirstStep	TopGeneInFirstStep	KupfferCells
ENSG00000013306	SLC25A39	 CGI-69, FLJ22407,	"Solute carrier family 25 member 39"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	51629	SLC25A39	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000013364	MVP	 LRP, VAULT1,	"Major vault protein"	"Cancer-related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9961	MVP	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,KupfferCells
ENSG00000014641	MDH1	 ,	"Malate dehydrogenase 1"	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4190	MDH1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000015475	BID	 ,	"BH3 interacting domain death agonist"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	637	BID	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000019582	CD74	 DHLAG,	"CD74 molecule"	"Cancer-related genes, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	972	CD74	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000020256	ZFP64	 dJ548G19.1, dJ831D17.1, FLJ10734, FLJ12628, ZNF338,	"ZFP64 zinc finger protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55734	ZFP64	TF	TF	TF
ENSG00000020633	RUNX3	 AML2, CBFA3, PEBP2A3,	"RUNX family transcription factor 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	864	RUNX3	CancerDExpr,TF	TF	TF
ENSG00000021355	SERPINB1	 anti-elastase, EI, ELANH2, PI2,	"Serpin family B member 1"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	1992	SERPINB1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000023191	RNH1	 RAI, RNH,	"Ribonuclease/angiogenin inhibitor 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6050	RNH1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000024862	CCDC28A	 C6orf80, CCRL1AP, DKFZp586D0623,	"Coiled-coil domain containing 28A"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	25901	CCDC28A	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage
