p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MS4A1	1.6436132792967e-27	2.45305050790283	1	0.023	2.339354780423e-23	Activated B cells	MS4A1
CENPI	3.20490886637496e-20	1.09902767452386	0.333	0.003	4.56154678951148e-16	Activated B cells	CENPI
IGHG1	2.83823975688716e-15	2.08518471642591	0.667	0.02	4.03966664597749e-11	Activated B cells	IGHG1
LINC00926	9.67366188581626e-14	1.79303695115864	0.667	0.023	1.37685229620823e-09	Activated B cells	LINC00926
GJA3	2.2669681165764e-13	1.48580408379888	0.333	0.006	3.22657572032318e-09	Activated B cells	GJA3
NCR3	5.07142895538043e-13	1.79141838260971	0.667	0.023	7.21816483219297e-09	Activated B cells	NCR3
BANK1	6.29687234255156e-13	2.40848750553763	1	0.058	8.96233840515363e-09	Activated B cells	BANK1
IGHA1	2.48802671349304e-12	2.37908809160013	1	0.063	3.54120842131465e-08	Activated B cells	IGHA1
CD79A	4.61238013165573e-11	1.85332266560454	0.667	0.028	6.5648006413856e-07	Activated B cells	CD79A
LINC01024	1.4153960281833e-09	1.66055944557334	0.333	0.008	2.01453316691329e-05	Activated B cells	LINC01024
IGLC2	2.11544439572291e-09	2.47159978000674	0.667	0.035	3.01091200843242e-05	Activated B cells	IGLC2
C2CD3	3.71186017444791e-09	1.7431324582516	0.667	0.037	5.28309058629171e-05	Activated B cells	C2CD3
SERF1A	4.7775534753236e-09	1.08039840415045	0.333	0.009	6.79989186142808e-05	Activated B cells	SERF1A
RP1-197B17.3	1.21365061104431e-08	1.65572814102899	0.333	0.009	0.000172738891469936	Activated B cells	RP1-197B17.3
F8A3	1.21365061104431e-08	1.46868880377517	0.333	0.009	0.000172738891469936	Activated B cells	F8A3
TIAM2	1.44139733374877e-08	1.74866084772051	0.667	0.04	0.000205154082512462	Activated B cells	TIAM2
MRPS24	3.22845824286097e-08	1.08154123447775	0.333	0.01	0.000459506461706401	Activated B cells	MRPS24
RALGPS2	3.43066683240982e-08	1.90065280160848	0.667	0.042	0.00048828681025689	Activated B cells	RALGPS2
RP5-1171I10.5	4.90678431387799e-08	1.96584580568581	0.667	0.043	0.000698382611394254	Activated B cells	RP5-1171I10.5
CD27	6.10366157736516e-08	1.80885569060865	1	0.095	0.000868734152306383	Activated B cells	CD27
VSIG1	8.34328371769935e-08	1.07222808007802	0.333	0.011	0.00118749957154015	Activated B cells	VSIG1
CD79B	1.26507387818e-07	2.23140392019832	1	0.116	0.0018005796508136	Activated B cells	CD79B
CDCA2	2.80249387209572e-07	1.08635109462142	0.333	0.012	0.00398878952815384	Activated B cells	CDCA2
LY86	4.10817652445662e-07	2.05725065185052	1	0.125	0.0058471676472591	Activated B cells	LY86
PARP15	6.02041249370601e-07	1.06497777344265	0.333	0.012	0.00856885310229177	Activated B cells	PARP15
IGLC3	7.18261739812235e-07	1.66150718121912	0.333	0.012	0.0102230193427475	Activated B cells	IGLC3
RAPGEFL1	9.41024013798543e-07	1.33201457476135	0.333	0.013	0.0133935947883947	Activated B cells	RAPGEFL1
RP11-428J1.5	1.54096780085244e-06	1.66891534746376	0.333	0.013	0.0219325947095328	Activated B cells	RP11-428J1.5
LINC00937	1.62750170063799e-06	1.06926346930606	0.333	0.013	0.0231642317051806	Activated B cells	LINC00937
PANO1	1.67250175291823e-06	1.0665271459269	0.333	0.013	0.0238047174492852	Activated B cells	PANO1
AKAP5	2.56241883724904e-06	1.43067582399821	0.333	0.014	0.0364709073105657	Activated B cells	AKAP5
ARHGAP24	5.53243880782907e-06	1.99795839717895	0.667	0.063	0.0787432015518312	Activated B cells	ARHGAP24
